word_id,word,meaning_ja,example_en,example_ja,pos
0032,wear,身につけている,She is wearing a cap.,彼女は帽子をかぶっている。,verb
0033,keep,続ける,Keep talking.,話し続けてください。,verb
0034,sound,聞こえる,That sounds good.,それは良さそうだ。,verb
0035,speak,話す,Speak English.,英語で話しなさい。,verb
0036,build,建てる,They built a house.,家を建てた。,verb
0037,clean,きれいにする,Clean the blackboard.,黒板をきれいにしなさい。,verb
0038,drive,運転する,He drove me home.,彼は私を家まで送った。,verb
0039,happen,起こる,What happened?,何が起こったの？,verb
0040,remember,思い出す,I remember his name.,彼の名前を覚えている。,verb
0041,return,返す,I returned the book.,本を返した。,verb
0042,say,言う,The sign says NO FOOD.,その標識には飲食禁止と書いてある。,verb
0043,sleep,眠る,I slept on the floor.,床で寝た。,verb
0044,paint,絵を描く,She painted a flower.,彼女は花の絵を描いた。,verb
0045,watch,見る,I watched a game on TV.,テレビで試合を見た。,verb
0046,worry,心配する,Don't worry.,心配しないで。,verb
0047,save,貯める,Save money.,お金を貯めなさい。,verb
0048,sell,売る,He sold old books.,彼は古本を売った。,verb
0049,snow,雪が降る,It is snowing.,雪が降っている。,verb
0050,understand,理解する,I understand the meaning.,意味が分かる。,verb
0051,begin,始める,The war began.,戦争が始まった。,verb
0052,borrow,借りる,I borrowed a book.,本を借りた。,verb
0053,cover,おおう,Snow covered the mountain.,雪が山を覆った。,verb
0054,miss,乗り遅れる,I missed the train.,電車に乗り遅れた。,verb
0055,wait,待つ,Wait for me.,私を待ってください。,verb
0056,arrive,到着する,We arrived at the airport.,空港に到着した。,verb
0057,break,壊す,He broke the cup.,彼はコップを割った。,verb
0058,change,変わる,Things change.,物事は変わる。,verb
0059,choose,選ぶ,Choose the best answer.,最も良い答えを選びなさい。,verb
0060,graduate,卒業する,She graduated from university.,彼女は大学を卒業した。,verb
0061,leave,置き忘れる,I left my bag on the train.,電車にかばんを忘れた。,verb
0062,lend,貸す,I lent him a book.,彼に本を貸した。,verb
0063,feel,感じる,I feel sick.,気分が悪い。,verb
0064,pick,選ぶ,Pick flowers.,花を摘む。,verb
0065,receive,受け取る,I received a letter.,手紙を受け取った。,verb
0066,spend,（時間・金）を費やす,I spent time on the beach.,浜辺で時間を過ごした。,verb
0067,bake,焼く,My mother baked a cake.,母はケーキを焼いた。,verb
0068,draw,描く,I drew a picture.,絵を描いた。,verb
0069,skate,スケートをする,He likes skating.,彼はスケートが好きだ。,verb
0070,turn,曲がる,Turn right.,右に曲がりなさい。,verb
0071,p.m.,午後,The meeting starts at 2 p.m.,会議は午後2時に始まる。,noun
0072,zoo,動物園,Let's go to the zoo.,動物園へ行こう。,noun
0073,animal,動物,I like animals.,動物が好きです。,noun
0074,festival,祭り,We enjoyed the summer festival.,夏祭りを楽しんだ。,noun
0075,elephant,ゾウ,An elephant has a long nose.,ゾウは長い鼻を持つ。,noun
0076,date,日付,What is the date today?,今日は何日ですか。,noun
0077,subject,教科,My favorite subject is English.,好きな教科は英語です。,noun
0078,store,店,My mother bought fruit at the store.,母は店で果物を買いました。,noun
0079,a.m.,午前,The class starts at 8 a.m.,授業は午前8時に始まります。,noun
0080,toy,おもちゃ,The child received a new toy for his birthday.,その子は誕生日に新しいおもちゃをもらいました。,noun
0081,movie,映画,We watched a movie together on Saturday.,私たちは土曜日に一緒に映画を見ました。,noun
0082,weekend,週末,I usually visit my grandparents on the weekend.,私は週末によく祖父母を訪ねます。,noun
0083,contest,コンテスト,She entered a singing contest at school.,彼女は学校の歌のコンテストに参加しました。,noun
0084,money,お金,He saved money to buy a bicycle.,彼は自転車を買うためにお金を貯めました。,noun
0085,restaurant,レストラン,We ate dinner at a small restaurant.,私たちは小さなレストランで夕食を食べました。,noun
0086,trip,旅行,Our trip to Kyoto was very exciting.,京都への旅行はとても楽しかったです。,noun
0087,information,情報,I found useful information on the internet.,私はインターネットで役立つ情報を見つけました。,noun
0088,kind,種類,There are many kinds of birds in this park.,この公園にはたくさんの種類の鳥がいます。,noun
0089,dictionary,辞書,I checked the meaning in my dictionary.,私は辞書で意味を調べました。,noun
0090,food,食べ物,The food at the festival was delicious.,祭りの食べ物はおいしかったです。,noun
0091,doctor,医者,The doctor told me to sleep early.,医者は私に早く寝るよう言いました。,noun
0092,job,仕事,My father's job is very busy.,父の仕事はとても忙しいです。,noun
0093,kitten,子猫,A kitten was hiding under the table.,子猫がテーブルの下に隠れていました。,noun
0094,university,大学,My sister studies at a university in Tokyo.,姉は東京の大学で勉強しています。,noun
0095,part,部分,This part of the story is funny.,物語のこの部分は面白いです。,noun
0096,place,場所,This park is my favorite place.,この公園は私のお気に入りの場所です。,noun
0097,fun,楽しみ,Playing with friends is always fun.,友達と遊ぶのはいつも楽しいです。,noun
0098,parent,親,One parent came to the school event.,親の一人が学校行事に来ました。,noun
0099,vacation,休暇,We went to Okinawa during our vacation.,私たちは休暇中に沖縄へ行きました。,noun
0100,volunteer,ボランティア,She worked as a volunteer at the event.,彼女はその行事でボランティアをしました。,noun
0101,band,バンド,My brother plays guitar in a band.,兄はバンドでギターを弾いています。,noun
0102,chimpanzee,チンパンジー,The chimpanzee climbed a tall tree.,そのチンパンジーは高い木に登りました。,noun
0103,library,図書館,I borrowed two books from the library.,私は図書館で本を二冊借りました。,noun
0104,plan,計画,We made a plan for the school trip.,私たちは修学旅行の計画を立てました。,noun
0105,e-mail,Eメール,I received an e-mail from my teacher.,先生からメールを受け取りました。,noun
0106,hour,時間,It takes about one hour to get there.,そこへ行くのに約1時間かかります。,noun
0107,practice,練習,Baseball practice starts after school.,野球の練習は放課後に始まります。,noun
0108,son,息子,Their son likes playing soccer after school.,彼らの息子は放課後にサッカーをするのが好きです。,noun
0109,country,国,Japan is a beautiful country.,日本は美しい国です。,noun
0110,meeting,会議,My father has a meeting this afternoon.,父は今日の午後会議があります。,noun
0111,newspaper,新聞,My grandfather reads the newspaper every morning.,祖父は毎朝新聞を読みます。,noun
0112,scientist,科学者,The scientist studied animals in the forest.,その科学者は森で動物を研究しました。,noun
0113,stop,停留所,Let's get off at the next bus stop.,次のバス停で降りましょう。,noun
0114,area,地域,This area is famous for its flowers.,この地域は花で有名です。,noun
0115,aunt,おば,My aunt lives in Osaka.,私のおばは大阪に住んでいます。,noun
0116,company,会社,She works for a large company.,彼女は大きな会社で働いています。,noun
0117,cookie,クッキー,I baked cookies with my mother.,母と一緒にクッキーを焼きました。,noun
0118,farmer,農家,The farmer grows vegetables near our town.,その農家は町の近くで野菜を育てています。,noun
0119,garden,庭,Many flowers bloom in our garden.,私たちの庭にはたくさんの花が咲いています。,noun
0120,idea,考え,That's a good idea for the project.,それはその計画に良い考えです。,noun
0121,lesson,授業,Today's English lesson was fun.,今日の英語の授業は楽しかったです。,noun
0122,medicine,薬,Take this medicine after dinner.,夕食後にこの薬を飲んでください。,noun
0123,month,月,We will move next month.,私たちは来月引っ越します。,noun
0124,pumpkin,かぼちゃ,We made pumpkin soup for lunch.,昼食にかぼちゃのスープを作りました。,noun
0125,space,宇宙,Many children dream of traveling in space.,多くの子どもたちは宇宙旅行を夢見ています。,noun
0126,station,駅,The station is next to the library.,駅は図書館の隣にあります。,noun
0127,weather,天気,The weather is nice today.,今日は天気が良いです。,noun
0128,word,単語,I learned a new word in class today.,今日授業で新しい単語を学びました。,noun
0129,care,世話,She takes good care of her dog.,彼女は犬の世話をよくしています。,noun
0130,chocolate,チョコレート,My sister gave me some chocolate.,姉がチョコレートをくれました。,noun
0131,factory,工場,My class visited a factory last week.,先週クラスで工場見学をしました。,noun
0132,ice,氷,Please put some ice in my drink.,飲み物に氷を入れてください。,noun
0133,pizza,ピザ,We ordered pizza for dinner.,夕食にピザを注文しました。,noun
0134,prize,賞,He won first prize in the contest.,彼はコンテストで一等賞を取りました。,noun
0135,report,レポート,I finished my science report yesterday.,昨日理科のレポートを終えました。,noun
0136,street,通り,Many shops are on this street.,この通りにはたくさんの店があります。,noun
0137,visitor,訪問者,The museum welcomed many visitors.,その博物館には多くの訪問者が来ました。,noun
0138,way,方法,Can you show me the way to the station?,駅への道を教えてくれますか。,noun
0139,concert,コンサート,We enjoyed the school concert.,私たちは学校のコンサートを楽しみました。,noun
0140,cousin,いとこ,My cousin lives in Hokkaido.,私のいとこは北海道に住んでいます。,noun
0141,doghouse,犬小屋,The dog is sleeping in its doghouse.,犬は犬小屋で寝ています。,noun
0142,group,グループ,Our group finished the task first.,私たちのグループが最初に課題を終えました。,noun
0143,history,歴史,Japanese history is very interesting.,日本の歴史はとても面白いです。,noun
0144,letter,手紙,I received a letter from my friend.,友達から手紙をもらいました。,noun
0145,minute,分,Please wait a few minutes.,数分待ってください。,noun
0146,musician,音楽家,The musician played the piano beautifully.,その音楽家は美しくピアノを弾きました。,noun
0147,notice,お知らせ,Did you read the notice on the wall?,壁のお知らせを読みましたか。,noun
0148,thing,物,There is one thing I want to ask.,一つ聞きたいことがあります。,noun
0149,ticket,切符,I bought a train ticket online.,私は電車の切符をオンラインで買いました。,noun
0150,tiger,トラ,We saw a tiger at the zoo.,動物園でトラを見ました。,noun
0151,uncle,おじ,My uncle likes fishing on weekends.,おじは週末に釣りをするのが好きです。,noun
0152,website,ウェブサイト,I found the answer on a website.,私はウェブサイトで答えを見つけました。,noun
0153,floor,階,Our classroom is on the third floor.,私たちの教室は3階にあります。,noun
0154,life,生活,Life in the countryside is peaceful.,田舎での生活は穏やかです。,noun
0155,office,事務所,My mother works in an office downtown.,母は街中の事務所で働いています。,noun
0156,pool,プール,The children are swimming in the pool.,子どもたちはプールで泳いでいます。,noun
0157,winner,勝者,The winner received a gold medal.,勝者は金メダルを受け取りました。,noun
0158,building,建物,That building is over 100 years old.,あの建物は100年以上前のものです。,noun
0159,college,大学,My brother wants to go to college abroad.,兄は海外の大学へ行きたがっています。,noun
0160,daughter,娘,Their daughter plays the violin well.,彼らの娘はバイオリンが上手です。,noun
0161,fair,見本市,We visited a science fair at school.,学校の科学フェアに行きました。,noun
0162,French,フランス語,I am studying French this year.,私は今年フランス語を勉強しています。,noun
0163,future,未来,We talked about our future dreams.,私たちは将来の夢について話しました。,noun
0164,government,政府,The government announced a new plan.,政府は新しい計画を発表しました。,noun
0165,hospital,病院,He was taken to the hospital yesterday.,彼は昨日病院へ運ばれました。,noun
0166,instrument,楽器,Can you play a musical instrument?,あなたは楽器を演奏できますか。,noun
0167,jazz,ジャズ,My father enjoys listening to jazz.,父はジャズを聞くのが好きです。,noun
0168,person,人,She is a kind person.,彼女は親切な人です。,noun
0169,pie,パイ,My grandmother baked an apple pie.,祖母はアップルパイを焼きました。,noun
0170,Spanish,スペイン語,He can speak Spanish very well.,彼はスペイン語を上手に話せます。,noun
0171,vegetable,野菜,You should eat more vegetables.,もっと野菜を食べた方がいいです。,noun
0172,wife,妻,His wife works at a hospital.,彼の妻は病院で働いています。,noun
0173,writer,作家,The writer published a new book.,その作家は新しい本を出版しました。,noun
0174,bookstore,本屋,I bought a dictionary at the bookstore.,本屋で辞書を買いました。,noun
0175,camera,カメラ,She took many pictures with her camera.,彼女はカメラでたくさん写真を撮りました。,noun
0176,clothes,服,These clothes are comfortable to wear.,この服は着心地が良いです。,noun
0177,dish,皿料理,This dish is popular in Japan.,この料理は日本で人気があります。,noun
0178,end,終わり,The movie had a happy end.,その映画は幸せな終わりでした。,noun
0179,event,行事,Our school has a big event in May.,私たちの学校は5月に大きな行事があります。,noun
0180,farm,農場,We saw many cows on the farm.,私たちは農場でたくさんの牛を見ました。,noun
0181,forest,森,Birds were singing in the forest.,森では鳥が鳴いていました。,noun
0182,grandmother,祖母,My grandmother makes very good soup.,祖母はとてもおいしいスープを作ります。,noun
0183,island,島,The small island has clear blue water.,その小さな島には澄んだ青い水があります。,noun
0184,magazine,雑誌,She read a sports magazine on the train.,彼女は電車でスポーツ雑誌を読みました。,noun
0185,member,会員,Every member helped clean the room.,会員全員が部屋の掃除を手伝いました。,noun
0186,message,伝言,I left a short message for my friend.,私は友達に短い伝言を残しました。,noun
0187,nature,自然,We learned about nature during the camp.,私たちはキャンプ中に自然について学びました。,noun
0188,road,道路,This road goes to the station.,この道路は駅へ続いています。,noun
0189,speech,スピーチ,His speech was short but clear.,彼のスピーチは短かったですが分かりやすかったです。,noun
0190,supermarket,スーパーマーケット,I bought milk at the supermarket.,私はスーパーマーケットで牛乳を買いました。,noun
0191,twin,双子,My class has twin sisters.,私のクラスには双子の姉妹がいます。,noun
0192,actor,俳優,The actor smiled at the children.,その俳優は子どもたちに笑顔を見せました。,noun
0193,beach,浜辺,We picked up shells on the beach.,私たちは浜辺で貝殻を拾いました。,noun
0194,color,色,What color is your new bag?,あなたの新しいかばんは何色ですか。,noun
0195,convenience,便利さ,This app is popular because of its convenience.,このアプリは便利さで人気があります。,noun
0196,culture,文化,Food is an important part of culture.,食べ物は文化の大切な一部です。,noun
0197,god,神,People prayed to the god at the shrine.,人々は神社で神に祈りました。,noun
0198,gym,体育館,The students played basketball in the gym.,生徒たちは体育館でバスケットボールをしました。,noun
0199,husband,夫,Her husband cooks dinner on Sundays.,彼女の夫は日曜日に夕食を作ります。,noun
0200,machine,機械,This machine makes orange juice.,この機械はオレンジジュースを作ります。,noun
0201,paper,紙,Please write your name on this paper.,この紙に名前を書いてください。,noun
0202,plane,飛行機,The plane arrived early this morning.,その飛行機は今朝早く到着しました。,noun
0203,president,大統領,The president spoke on TV last night.,大統領は昨夜テレビで話しました。,noun
0204,question,質問,I have one question about the homework.,宿題について一つ質問があります。,noun
0205,salad,サラダ,My sister made a fresh salad.,姉は新鮮なサラダを作りました。,noun
0206,tournament,トーナメント,Our team joined a tennis tournament.,私たちのチームはテニスのトーナメントに参加しました。,noun
0207,war,戦争,We read a book about war and peace.,私たちは戦争と平和についての本を読みました。,noun
0208,other,他の,Do you have any other questions?,他に質問はありますか。,adjective
0209,dear,親愛なる,"Dear Ken, thank you for your letter.",親愛なるケンへ、手紙をありがとう。,adjective
0210,full,いっぱいの,The box is full of old toys.,その箱は古いおもちゃでいっぱいです。,adjective
0211,free,無料の,The museum is free for children.,その博物館は子どもは無料です。,adjective
0212,best,最高の,This is the best day of my trip.,今日は旅行で最高の日です。,adjective
0213,famous,有名な,Kyoto is famous for old temples.,京都は古い寺で有名です。,adjective
0214,special,特別な,We made a special card for our teacher.,私たちは先生に特別なカードを作りました。,adjective
0215,little,少しの,There is a little milk in the glass.,コップには少し牛乳があります。,adjective
0216,sorry,申し訳ない,I am sorry for being late.,遅れてすみません。,adjective
0217,better,より良い,Your picture is getting better.,あなたの絵は上手になっています。,adjective
0218,popular,人気のある,This game is popular at my school.,このゲームは私の学校で人気があります。,adjective
0219,right,正しい,Please write the right answer here.,ここに正しい答えを書いてください。,adjective
0220,favorite,お気に入りの,Science is my favorite subject.,理科は私のお気に入りの教科です。,adjective
0221,sick,病気の,My brother was sick yesterday.,弟は昨日病気でした。,adjective
0222,busy,忙しい,The shop is busy on Saturday.,その店は土曜日に忙しいです。,adjective
0223,late,遅い,The bus was late because of rain.,雨のためバスが遅れました。,adjective
0224,most,最も多い,Most students finished the test early.,ほとんどの生徒は早くテストを終えました。,adjective
0225,beautiful,美しい,We saw a beautiful rainbow after the rain.,雨の後で美しい虹を見ました。,adjective
0226,close,近い,My house is close to the park.,私の家は公園に近いです。,adjective
0227,different,違った,My answer was different from yours.,私の答えはあなたのものと違っていました。,adjective
0228,enough,十分な,We have enough chairs for everyone.,みんなの分のいすが十分あります。,adjective
0229,sure,確かな,Are you sure about the time?,その時間で確かですか。,adjective
0230,ready,準備ができた,Dinner is ready now.,夕食の準備ができました。,adjective
0231,glad,うれしい,I am glad to hear that news.,その知らせを聞いてうれしいです。,adjective
0232,same,同じ,We have the same birthday.,私たちは同じ誕生日です。,adjective
0233,difficult,難しい,This math problem is difficult for me.,この算数の問題は私には難しいです。,adjective
0234,fine,元気な,I feel fine after a good sleep.,よく寝たので元気です。,adjective
0235,Italian,イタリアの,We ate Italian food for lunch.,昼食にイタリア料理を食べました。,adjective
0236,surprised,驚いた,She was surprised by the birthday party.,彼女は誕生日パーティーに驚きました。,adjective
0237,afraid,恐れている,The child was afraid of the big dog.,その子は大きな犬を怖がっていました。,adjective
0238,each,それぞれの,Each student got a new notebook.,それぞれの生徒が新しいノートをもらいました。,adjective
0239,exciting,わくわくさせる,The soccer game was very exciting.,そのサッカーの試合はとてもわくわくしました。,adjective
0240,professional,プロの,My uncle is a professional photographer.,おじはプロの写真家です。,adjective
0241,wild,野生の,We saw wild monkeys near the mountain.,山の近くで野生の猿を見ました。,adjective
0242,angry,怒った,My mother looked angry after seeing the mess.,母は散らかった部屋を見て怒っているようでした。,adjective
0243,another,もう一つの,Can I have another piece of cake?,ケーキをもう一切れもらえますか。,adjective
0244,delicious,おいしい,The curry smelled delicious.,そのカレーはおいしそうなにおいがしました。,adjective
0245,foreign,外国の,Our school has a foreign teacher.,私たちの学校には外国人の先生がいます。,adjective
0246,important,重要な,Breakfast is important for children.,朝食は子どもにとって大切です。,adjective
0247,interesting,面白い,The museum has many interesting pictures.,その博物館には面白い絵がたくさんあります。,adjective
0248,tired,疲れた,I was tired after cleaning my room.,部屋を掃除した後で疲れました。,adjective
0249,useful,役に立つ,This map is useful for our trip.,この地図は旅行に役立ちます。,adjective
0250,warm,暖かい,The soup kept my hands warm.,そのスープで手が暖かくなりました。,adjective
0251,hungry,空腹の,I felt hungry before lunch.,昼食の前にお腹がすきました。,adjective
0252,lost,道に迷った,We got lost near the station.,私たちは駅の近くで道に迷いました。,adjective
0253,main,主要な,The main gate opens at nine.,正門は9時に開きます。,adjective
0254,native,生まれつきの,Koalas are native to Australia.,コアラはオーストラリア原産です。,adjective
0255,nervous,緊張した,I was nervous before the speech.,スピーチの前に緊張しました。,adjective
0256,wrong,間違った,I got on the wrong train.,間違った電車に乗りました。,adjective
0257,first,最初に,First wash your hands before dinner.,まず夕食の前に手を洗いなさい。,adjective
0258,next,次に,Next open your textbook to page ten.,次に教科書の10ページを開きなさい。,adjective
0259,also,また,My sister also likes this song.,姉もこの歌が好きです。,adverb
0260,again,再び,Please say that again slowly.,もう一度ゆっくり言ってください。,adverb
0261,around,周りに,The children ran around the playground.,子どもたちは運動場を走り回りました。,adverb
0262,before,以前に,I met her before at the library.,以前図書館で彼女に会いました。,adverb
0263,hard,一生懸命に,He studied hard for the English test.,彼は英語のテストのために一生懸命勉強しました。,adverb
0264,just,ちょうど,I just finished my homework.,ちょうど宿題を終えたところです。,adverb
0265,often,よく,We often eat rice for breakfast.,私たちは朝食によくご飯を食べます。,adverb
0266,later,あとで,I will call you later.,あとであなたに電話します。,adverb
0267,yet,まだ,She has not finished lunch yet.,彼女はまだ昼食を終えていません。,adverb
0268,together,一緒に,Let's clean the classroom together.,一緒に教室を掃除しましょう。,adverb
0269,ago,前に,I came to Japan three years ago.,私は3年前に日本へ来ました。,adverb
0270,never,一度もない,He never eats fish at school.,彼は学校で魚を一度も食べません。,adverb
0271,ever,今までに,Have you ever visited Nara?,今まで奈良を訪れたことがありますか。,adverb
0272,outside,外で,The children played outside after lunch.,子どもたちは昼食後に外で遊びました。,adverb
0273,still,まだ,It is still raining outside.,外ではまだ雨が降っています。,adverb
0274,tonight,今夜,We will watch the stars tonight.,私たちは今夜星を見ます。,adverb
0275,already,すでに,I already packed my bag.,私はもうかばんに荷物を入れました。,adverb
0276,usually,たいてい,I usually walk to school with my friend.,私はたいてい友達と学校へ歩いて行きます。,adverb
0277,early,早く,My father leaves home early every morning.,父は毎朝早く家を出ます。,adverb
0278,part-time,パートタイムの,My cousin works part-time at a cafe.,いとこはカフェでアルバイトをしています。,adverb
0279,even,〜でさえ,Even my little brother can read this book.,弟でさえこの本を読むことができます。,adverb
0280,everywhere,どこでも,There were flowers everywhere in the garden.,庭のあちこちに花がありました。,adverb
0281,far,遠くに,My school is not far from my house.,私の学校は家から遠くありません。,adverb
0282,once,一度,I visited that museum once with my family.,私は家族と一度その博物館を訪れました。,adverb
0283,when,〜するとき,Call me when you get home.,家に着いたら私に電話してください。,conjunction
0284,if,もし〜なら,"If it rains tomorrow, we will stay home.",もし明日雨が降ったら家にいます。,conjunction
0285,because,なぜなら〜だから,I stayed home because I had a cold.,風邪をひいていたので家にいました。,conjunction
0286,than,〜よりも,This bag is lighter than mine.,このかばんは私のものより軽いです。,preposition/conjunction
0287,until,〜まで,We played in the park until five.,私たちは5時まで公園で遊びました。,preposition/conjunction
0288,while,〜する間に,I listened to music while I cleaned my room.,部屋を掃除している間に音楽を聞きました。,conjunction
0289,by,〜までに,Please finish this work by Friday.,金曜日までにこの仕事を終えてください。,preposition
0290,over,〜を越えて,A bird flew over the river.,鳥が川の上を飛んでいきました。,preposition/adverb
0291,between,〜の間に,The bank is between the post office and the school.,銀行は郵便局と学校の間にあります。,preposition
0292,during,〜の間中,I took notes during the science lesson.,理科の授業中にノートを取りました。,preposition
0293,since,〜以来,I have known him since first grade.,私は1年生のときから彼を知っています。,preposition/conjunction
0294,across,〜を横切って,We walked across the bridge together.,私たちは一緒に橋を渡りました。,preposition/adverb
0295,one,一つのもの,Which one is your pencil?,どちらがあなたの鉛筆ですか。,pronoun
0296,all,すべて,All of the children joined the game.,子どもたちは全員そのゲームに参加しました。,pronoun
0297,anyone,だれか,Can anyone answer this question?,だれかこの質問に答えられますか。,pronoun
0298,should,〜すべきだ,You should wash your hands before lunch.,昼食の前に手を洗うべきです。,auxiliary verb
0299,could,〜できた,I could swim when I was six.,私は6歳のとき泳ぐことができました。,auxiliary verb
0300,must,〜しなければならない,You must bring your textbook tomorrow.,明日教科書を持ってこなければなりません。,auxiliary verb
0301,deliver,届ける,The man will deliver the box this afternoon.,その男性は今日の午後その箱を届けます。,verb
0302,answer,答える,Please answer the question in English.,英語でその質問に答えてください。,verb
0303,believe,信じる,I believe my team can win.,私は自分のチームが勝てると信じています。,verb
0304,collect,集める,My sister collects pretty stamps.,姉はきれいな切手を集めています。,verb
0305,cost,費用がかかる,This notebook costs only one hundred yen.,このノートはたった100円です。,verb
0306,cross,横切る,Look both ways before you cross the street.,通りを渡る前に左右を見なさい。,verb
0307,die,死ぬ,The old tree died after the long summer.,その古い木は長い夏の後に枯れました。,verb
0308,enter,入る,The students entered the room quietly.,生徒たちは静かに部屋に入りました。,verb
0309,fall,落ちる,Leaves fall from the trees in autumn.,秋には木から葉が落ちます。,verb
0310,fight,戦う,The two boys stopped fighting after class.,二人の男の子は授業後にけんかをやめました。,verb
0311,hurt,傷つける,My knee hurt after the soccer game.,サッカーの試合の後でひざが痛みました。,verb
0312,jog,ジョギングする,My father jogs around the park every morning.,父は毎朝公園の周りをジョギングします。,verb
0313,lose,失う,I do not want to lose this key.,この鍵をなくしたくありません。,verb
0314,pay,支払う,I paid five hundred yen for the book.,私はその本に500円を払いました。,verb
0315,protect,守る,We should protect animals in the forest.,私たちは森の動物を守るべきです。,verb
0316,reach,到着する,We reached the hotel before dinner.,私たちは夕食前にホテルに着きました。,verb
0317,ride,乗る,She can ride a horse very well.,彼女は馬にとても上手に乗れます。,verb
0318,share,共有する,I shared my lunch with my friend.,私は友達と昼食を分け合いました。,verb
0319,agree,同意する,I agree with your plan for the trip.,私は旅行についてのあなたの計画に賛成です。,verb
0320,catch,捕まえる,The cat tried to catch the red ball.,猫は赤いボールを捕まえようとしました。,verb
0321,celebrate,祝う,We celebrated my brother's birthday at home.,私たちは家で弟の誕生日を祝いました。,verb
0322,check,確認する,Check your bag before you leave.,出かける前にかばんを確認しなさい。,verb
0323,contact,連絡を取る,I will contact my teacher after school.,放課後に先生へ連絡します。,verb
0324,expect,予期する,We expect many visitors tomorrow.,明日は多くの訪問者が来ると思います。,verb
0325,fly,飛ぶ,Kites fly high on windy days.,風の強い日にはたこが高く飛びます。,verb
0326,follow,従う,Please follow the rules in the library.,図書館では規則に従ってください。,verb
0327,forget,忘れる,Do not forget your umbrella today.,今日は傘を忘れないでください。,verb
0328,hit,打つ,He hit the ball over the fence.,彼はボールを柵の向こうへ打ちました。,verb
0329,hurry,急ぐ,We hurried to the station in the rain.,私たちは雨の中を駅へ急ぎました。,verb
0330,invent,発明する,The students invented a new board game.,生徒たちは新しいボードゲームを発明しました。,verb
0331,kill,殺す,The cold weather killed some flowers.,寒い天気でいくつかの花が枯れました。,verb
0332,pass,合格する,She passed the English test last week.,彼女は先週英語のテストに合格しました。,verb
0333,perform,演じる,The children performed a short play.,子どもたちは短い劇を演じました。,verb
0334,shut,閉める,Please shut the window before you sleep.,寝る前に窓を閉めてください。,verb
0335,smell,においがする,The bread smells good in the kitchen.,台所でパンがいいにおいをしています。,verb
0336,taste,味がする,This soup tastes a little sweet.,このスープは少し甘い味がします。,verb
0337,attack,攻撃する,The bees attacked the man near the tree.,ハチが木の近くの男性を攻撃しました。,verb
0338,carry,運ぶ,Can you carry this bag for me?,このかばんを運んでくれますか。,verb
0339,continue,続ける,We continued the game after the rain stopped.,雨がやんだ後で試合を続けました。,verb
0340,cry,泣く,The baby began to cry on the train.,赤ちゃんが電車の中で泣き始めました。,verb
0341,destroy,破壊する,The storm destroyed the old bridge.,嵐が古い橋を壊しました。,verb
0342,exchange,交換する,We exchanged small gifts at Christmas.,私たちはクリスマスに小さな贈り物を交換しました。,verb
0343,fit,合う,These shoes fit my feet well.,この靴は私の足によく合います。,verb
0344,guess,推測する,Can you guess the name of this animal?,この動物の名前を当てられますか。,verb
0345,imagine,想像する,Imagine a city under the sea.,海の下にある町を想像してください。,verb
0346,introduce,紹介する,Let me introduce my friend to you.,友達をあなたに紹介させてください。,verb
0347,jump,跳ぶ,The dog jumped over the small fence.,犬は小さな柵を跳び越えました。,verb
0348,mean,意味する,What does this sign mean?,この標識は何を意味していますか。,verb
0349,order,注文する,We ordered two sandwiches for lunch.,昼食にサンドイッチを二つ注文しました。,verb
