question_id,set_id,question_no,section,question_type,passage_id,prompt,question_text_ja,option_A,option_B,option_C,option_D,option_A_ja,option_B_ja,option_C_ja,option_D_ja,correct_option,correct_answer_text,correct_answer_text_ja,explanation_ja,vocabulary_notes_ja,difficulty,skill_tag,weak_point_tag,target_vocab,source_style
SET01-Q13,SET01,13,对话完成,dialogue_completion,,"A: Dad, may I use the computer?
B: Did you finish your homework first?
A: Yes, I finished it a few minutes ago.
B: (____)","次の会話を完成させなさい。
A： Dad, may I use the computer?
B： Did you finish your homework first?
A： Yes, I finished it a few minutes ago.
B： （　）","No, we need more milk.",I like your new shoes.,The train was late.,All right. You can use it for thirty minutes.,いいえ、もっと牛乳が必要です。,あなたの新しい靴が好きです。,電車が遅れました。,いいですよ。30分使ってよいです。,D,All right. You can use it for thirty minutes.,いいですよ。30分使ってよいです。,会話の流れに合う返事は「All right. You can use it for thirty minutes.」です。前の発言をよく読むと、自然につながる内容を選べます。,"会話表現：相手の質問や依頼に合う自然な返事を選ぶ。
correct answer = All right. You can use it for thirty minutes.（いいですよ。30分使ってよいです。）",EIKEN_Pre2,home,conversation,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q14,SET01,14,对话完成,dialogue_completion,,"A: I’m looking for a book about space.
B: Children’s books or adult books?
A: Children’s books, please.
B: (____)","次の会話を完成させなさい。
A： I’m looking for a book about space.
B： Children’s books or adult books?
A： Children’s books, please.
B： （　）",They are on the second shelf near the window.,My brother plays tennis.,I will take the blue one.,The bus leaves at noon.,窓の近くの2番目の棚にあります。,私の兄はテニスをします。,青いものにします。,バスは正午に出発します。,A,They are on the second shelf near the window.,窓の近くの2番目の棚にあります。,会話の流れに合う返事は「They are on the second shelf near the window.」です。前の発言をよく読むと、自然につながる内容を選べます。,"会話表現：相手の質問や依頼に合う自然な返事を選ぶ。
correct answer = They are on the second shelf near the window.（窓の近くの2番目の棚にあります。）",EIKEN_Pre2,library,conversation,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q15,SET01,15,对话完成,dialogue_completion,,"A: The soup is too hot to eat.
B: Then wait a few minutes.
A: Good idea.
B: (____)","次の会話を完成させなさい。
A： The soup is too hot to eat.
B： Then wait a few minutes.
A： Good idea.
B： （　）",I forgot my umbrella.,The museum is closed.,You should buy new shoes.,It will cool down soon.,傘を忘れました。,博物館は閉まっています。,新しい靴を買うべきです。,すぐに冷めます。,D,It will cool down soon.,すぐに冷めます。,会話の流れに合う返事は「It will cool down soon.」です。前の発言をよく読むと、自然につながる内容を選べます。,"会話表現：相手の質問や依頼に合う自然な返事を選ぶ。
correct answer = It will cool down soon.（すぐに冷めます。）",EIKEN_Pre2,restaurant,conversation,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q16,SET01,16,阅读理解,reading_comprehension,SET01-P01,Where will Friday’s practice be held?,本文の内容に合う答えを選びなさい：金曜日の練習はどこで行われますか。,In the gym.,At the city pool.,At Green Park.,In Room 4C.,体育館で。,市民プールで。,グリーンパークで。,4C教室で。,C,At Green Park.,グリーンパークで。,本文の内容に合う答えは「At Green Park.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = At Green Park.（グリーンパークで。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q17,SET01,17,阅读理解,reading_comprehension,SET01-P01,Why is the practice place changing?,本文の内容に合う答えを選びなさい：なぜ練習場所が変わりますか。,The coach is sick.,The team has a game.,The school field is being repaired.,It will rain heavily.,コーチが病気だから。,チームに試合があるから。,学校のグラウンドが修理中だから。,大雨が降るから。,C,The school field is being repaired.,学校のグラウンドが修理中だから。,本文の内容に合う答えは「The school field is being repaired.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = The school field is being repaired.（学校のグラウンドが修理中だから。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q18,SET01,18,阅读理解,reading_comprehension,SET01-P01,What should students bring?,本文の内容に合う答えを選びなさい：生徒は何を持ってくるべきですか。,A dictionary.,A lunch box.,A water bottle.,A camera.,辞書。,弁当箱。,水筒。,カメラ。,C,A water bottle.,水筒。,本文の内容に合う答えは「A water bottle.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = A water bottle.（水筒。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q19,SET01,19,阅读理解,reading_comprehension,SET01-P02,Where did Sofia go yesterday?,本文の内容に合う答えを選びなさい：ソフィアは昨日どこへ行きましたか。,To her school library.,To a zoo.,To a train station.,To the city art museum.,学校の図書館へ。,動物園へ。,駅へ。,市立美術館へ。,D,To the city art museum.,市立美術館へ。,本文の内容に合う答えは「To the city art museum.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = To the city art museum.（市立美術館へ。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q20,SET01,20,阅读理解,reading_comprehension,SET01-P02,What was the special exhibition about?,本文の内容に合う答えを選びなさい：特別展は何についてでしたか。,Animals in paintings.,Old cameras.,Famous singers.,Space travel.,絵の中の動物。,古いカメラ。,有名な歌手。,宇宙旅行。,A,Animals in paintings.,絵の中の動物。,本文の内容に合う答えは「Animals in paintings.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = Animals in paintings.（絵の中の動物。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q21,SET01,21,阅读理解,reading_comprehension,SET01-P02,What did Sofia buy?,本文の内容に合う答えを選びなさい：ソフィアは何を買いましたか。,Postcards.,A toy horse.,A notebook.,A painting.,ポストカード。,おもちゃの馬。,ノート。,絵。,A,Postcards.,ポストカード。,本文の内容に合う答えは「Postcards.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = Postcards.（ポストカード。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q22,SET01,22,阅读理解,reading_comprehension,SET01-P03,Where was the empty space?,本文の内容に合う答えを選びなさい：空き地はどこにありましたか。,Behind a hospital.,Inside a station.,Next to a river.,Beside the city hall.,病院の後ろ。,駅の中。,川の隣。,市役所の横。,D,Beside the city hall.,市役所の横。,本文の内容に合う答えは「Beside the city hall.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = Beside the city hall.（市役所の横。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q23,SET01,23,阅读理解,reading_comprehension,SET01-P03,What did neighbors plant?,本文の内容に合う答えを選びなさい：近所の人たちは何を植えましたか。,Vegetables and flowers.,Rice and tea.,Grass for sports.,Only tall trees.,野菜と花。,米とお茶。,スポーツ用の芝生。,高い木だけ。,A,Vegetables and flowers.,野菜と花。,本文の内容に合う答えは「Vegetables and flowers.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = Vegetables and flowers.（野菜と花。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q24,SET01,24,阅读理解,reading_comprehension,SET01-P03,What did children do during summer?,本文の内容に合う答えを選びなさい：子どもたちは夏の間に何をしましたか。,They helped water the plants.,They painted the city hall.,They built a bridge.,They sold tickets.,植物に水をやる手伝いをした。,市役所にペンキを塗った。,橋を作った。,チケットを売った。,A,They helped water the plants.,植物に水をやる手伝いをした。,本文の内容に合う答えは「They helped water the plants.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = They helped water the plants.（植物に水をやる手伝いをした。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q25,SET01,25,阅读理解,reading_comprehension,SET01-P04,What happened during Maya’s first speech contest?,本文の内容に合う答えを選びなさい：マヤの最初のスピーチコンテストで何が起こりましたか。,She forgot some words.,She lost her notebook.,She won first prize.,She arrived too late.,彼女はいくつかの言葉を忘れた。,彼女はノートをなくした。,彼女は一位になった。,彼女は遅れて着いた。,A,She forgot some words.,彼女はいくつかの言葉を忘れた。,本文の内容に合う答えは「She forgot some words.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = She forgot some words.（彼女はいくつかの言葉を忘れた。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q26,SET01,26,阅读理解,reading_comprehension,SET01-P04,What did her teacher tell her?,本文の内容に合う答えを選びなさい：先生は彼女に何と言いましたか。,She should stop speaking English.,Mistakes could help her learn.,The contest was canceled.,She needed a new school.,She should stop speaking English.,間違いは学びの助けになる。,The contest was canceled.,She needed a new school.,B,Mistakes could help her learn.,間違いは学びの助けになる。,本文の内容に合う答えは「Mistakes could help her learn.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = Mistakes could help her learn.（間違いは学びの助けになる。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q27,SET01,27,阅读理解,reading_comprehension,SET01-P04,How did Maya speak this year?,本文の内容に合う答えを選びなさい：今年マヤはどのように話しましたか。,With confidence.,In Japanese only.,Very quietly.,Without practicing.,自信を持って。,In Japanese only.,とても小さな声で。,練習せずに。,A,With confidence.,自信を持って。,本文の内容に合う答えは「With confidence.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = With confidence.（自信を持って。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q28,SET01,28,阅读理解,reading_comprehension,SET01-P05,When is the night market held?,本文の内容に合う答えを選びなさい：ナイトマーケットはいつ開かれますか。,On the first Monday of each month.,Only on New Year’s Day.,Every morning in winter.,Every Friday in summer.,On the first Monday of each month.,Only on New Year’s Day.,Every morning in winter.,Every Friday in summer.,D,Every Friday in summer.,Every Friday in summer.,本文の内容に合う答えは「Every Friday in summer.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = Every Friday in summer.（Every Friday in summer.）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q29,SET01,29,阅读理解,reading_comprehension,SET01-P05,Where do musicians play music?,本文の内容に合う答えを選びなさい：音楽家たちはどこで演奏しますか。,Inside the library.,Behind the hospital.,At the bus stop.,Near the fountain.,Inside the library.,Behind the hospital.,At the bus stop.,Near the fountain.,D,Near the fountain.,Near the fountain.,本文の内容に合う答えは「Near the fountain.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = Near the fountain.（Near the fountain.）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q30,SET01,30,阅读理解,reading_comprehension,SET01-P05,Who does the market help?,本文の内容に合う答えを選びなさい：その市場は誰を助けますか。,Foreign airlines.,Farm animals.,Small shops.,Only large hotels.,Foreign airlines.,Farm animals.,小さなお店。,Only large hotels.,C,Small shops.,小さなお店。,本文の内容に合う答えは「Small shops.」です。質問文のキーワードと同じ情報を本文から探すと、正解にたどり着けます。,"読解ポイント：質問の Who / What / Where / When / Why に注目する。
correct answer = Small shops.（小さなお店。）",EIKEN_Pre2,reading_detail,reading,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q01,SET02,1,短句填空,sentence_fill,,The soccer coach told the players to (____) carefully before the game to avoid injuries.,サッカーのコーチは、けがを避けるために試合前に注意して（　）よう選手たちに言いました。,count,decorate,trade,stretch,数える,飾る,交換する,ストレッチする,D,stretch,ストレッチする,文脈から「stretch」が最も自然です。意味は「ストレッチする」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"stretch = ストレッチする
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,stretch,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q02,SET02,2,短句填空,sentence_fill,,Sarah could not hear the announcement because the room was too (____).,部屋があまりにも（　）だったので、サラは放送を聞くことができませんでした。,noisy,private,useful,correct,騒がしい,個人的な,役に立つ,訂正する／正しい,A,noisy,騒がしい,文脈から「noisy」が最も自然です。意味は「騒がしい」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"noisy = 騒がしい
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,adjective,vocabulary,noisy,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q03,SET02,3,短句填空,sentence_fill,,The city plans to (____) more trees along the main street next spring.,市は来年の春、メインストリート沿いにもっと多くの木を（　）予定です。,mix,plant,tie,charge,混ぜる,植える,結ぶ,料金を請求する,B,plant,植える,文脈から「plant」が最も自然です。意味は「植える」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"plant = 植える
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,plant,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q04,SET02,4,短句填空,sentence_fill,,"A: Why did you bring a map?
B: I don’t want to get (____) in this big city.","A：どうして地図を持ってきたの？
B：この大きな町で（　）なりたくないからです。",lost,full,ready,safe,道に迷った／失った,いっぱいの,準備ができた,安全な,A,lost,道に迷った／失った,文脈から「lost」が最も自然です。意味は「道に迷った／失った」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"lost = 道に迷った／失った
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,adjective,vocabulary,lost,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q05,SET02,5,短句填空,sentence_fill,,The movie was so (____) that many people laughed from beginning to end.,その映画はとても（　）だったので、多くの人が最初から最後まで笑いました。,weak,square,deep,funny,弱い,四角い,深い,おもしろい,D,funny,おもしろい,文脈から「funny」が最も自然です。意味は「おもしろい」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"funny = おもしろい
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,adjective,vocabulary,funny,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q06,SET02,6,短句填空,sentence_fill,,The teacher asked the students to (____) their names at the top of the paper.,The teacher asked the students to （　） their names at the top of the paper.,write,carry,taste,invite,write,carry,taste,invite,A,write,write,文脈から「write」が最も自然です。意味は「write」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"write = write
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,write,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q07,SET02,7,短句填空,sentence_fill,,It is important to (____) your teeth after meals.,It is important to （　） your teeth after meals.,land,brush,measure,break,land,brush,measure,break,B,brush,brush,文脈から「brush」が最も自然です。意味は「brush」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"brush = brush
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,brush,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q08,SET02,8,短句填空,sentence_fill,,Emma saved money for three months because she wanted to (____) a new bicycle.,Emma saved money for three months because she wanted to （　） a new bicycle.,afford,boil,search,knock,afford,boil,search,knock,A,afford,afford,文脈から「afford」が最も自然です。意味は「afford」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"afford = afford
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,afford,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q09,SET02,9,短句填空,sentence_fill,,"The old clock still works, but it is not very (____). It is often five minutes slow.","The old clock still works, but it is not very （　）. It is often five minutes slow.",accurate,empty,social,central,accurate,空の,social,中心の,A,accurate,accurate,文脈から「accurate」が最も自然です。意味は「accurate」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"accurate = accurate
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,adjective,vocabulary,accurate,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q10,SET02,10,短句填空,sentence_fill,,"A: Can I use your dictionary?
B: Sure, but please (____) it before English class ends.","A: Can I use your dictionary?
B: Sure, but please （　） it before English class ends.",return,warn,invent,cover,返す,警告する,invent,覆い／表紙,A,return,返す,文脈から「return」が最も自然です。意味は「返す」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"return = 返す
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,return,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q11,SET02,11,对话完成,dialogue_completion,,"A: I’m looking for a book about space.
B: Children’s books or adult books?
A: Children’s books, please.
B: (____)","次の会話を完成させなさい。
A： I’m looking for a book about space.
B： Children’s books or adult books?
A： Children’s books, please.
B： （　）",I will take the blue one.,The bus leaves at noon.,My brother plays tennis.,They are on the second shelf near the window.,青いものにします。,バスは正午に出発します。,私の兄はテニスをします。,窓の近くの2番目の棚にあります。,D,They are on the second shelf near the window.,窓の近くの2番目の棚にあります。,会話の流れに合う返事は「They are on the second shelf near the window.」です。前の発言をよく読むと、自然につながる内容を選べます。,"会話表現：相手の質問や依頼に合う自然な返事を選ぶ。
correct answer = They are on the second shelf near the window.（窓の近くの2番目の棚にあります。）",EIKEN_Pre2,library,conversation,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET02-Q12,SET02,12,对话完成,dialogue_completion,,"A: The soup is too hot to eat.
B: Then wait a few minutes.
A: Good idea.
B: (____)","次の会話を完成させなさい。
A： The soup is too hot to eat.
B： Then wait a few minutes.
A： Good idea.
B： （　）",It will cool down soon.,I forgot my umbrella.,The museum is closed.,You should buy new shoes.,すぐに冷めます。,傘を忘れました。,博物館は閉まっています。,新しい靴を買うべきです。,A,It will cool down soon.,すぐに冷めます。,会話の流れに合う返事は「It will cool down soon.」です。前の発言をよく読むと、自然につながる内容を選べます。,"会話表現：相手の質問や依頼に合う自然な返事を選ぶ。
correct answer = It will cool down soon.（すぐに冷めます。）",EIKEN_Pre2,restaurant,conversation,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
