question_id,set_id,question_no,section,question_type,passage_id,prompt,question_text_ja,option_A,option_B,option_C,option_D,option_A_ja,option_B_ja,option_C_ja,option_D_ja,correct_option,correct_answer_text,correct_answer_text_ja,explanation_ja,vocabulary_notes_ja,difficulty,skill_tag,weak_point_tag,target_vocab,source_style
G3SET01-Q24,G3SET01,24,長文の内容一致選択,reading_comprehension,G3SET01-P02,Keiko bought a blue necklace for Sarah because,,blue is Sarah's favorite color.,it was on sale at the department store.,Sarah asked for a new necklace.,Emily recommended it to Keiko.,,,,,A,blue is Sarah's favorite color.,favorite color,“because blue is her favorite color” と直接的な理由が書かれています。,favorite color,EIKEN_Grade3,reading,reason,favorite color,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q25,G3SET01,25,長文の内容一致選択,reading_comprehension,G3SET01-P02,What does Keiko want Emily to do?,,Buy some drinks and snacks.,Make a chocolate cake.,Pick up her brother at the station.,Call Sarah on Friday morning.,,,,,B,Make a chocolate cake.,bake,ケイコが “Could you bake a chocolate cake for us?” と依頼しています。,bake,EIKEN_Grade3,reading,request,bake,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q26,G3SET01,26,長文の内容一致選択,reading_comprehension,G3SET01-P03,What was Alexander Graham Bell interested in when he was a child?,,Learning many languages.,Music and science.,Traveling to different cities.,Growing vegetables on a farm.,,,,,B,Music and science.,music and science,第1段落に “he was very interested in music and science” とあります。,music and science,EIKEN_Grade3,reading,detail,music and science,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q27,G3SET01,27,長文の内容一致選択,reading_comprehension,G3SET01-P03,Why did Alexander move to the United States?,,To visit his grandparents in Scotland.,To buy a new house for his family.,To work as a teacher for deaf students.,To learn how to play the piano.,,,,,C,To work as a teacher for deaf students.,deaf students,第2段落に “He became a teacher for deaf students in Boston” とあります。,deaf students,EIKEN_Grade3,reading,reason,deaf students,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q28,G3SET01,28,長文の内容一致選択,reading_comprehension,G3SET01-P03,Alexander worked with Thomas Watson to,,build a large school in Boston.,make a machine that could send voices.,write a book about history.,find a new job at a hospital.,,,,,B,make a machine that could send voices.,send voices,ベルの目的は “He wanted to send voices through wires” ことです。,send voices,EIKEN_Grade3,reading,purpose,send voices,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q29,G3SET01,29,長文の内容一致選択,reading_comprehension,G3SET01-P03,"What happened on March 10, 1876?",,Alexander moved to a different room.,Alexander made the first telephone call.,Thomas Watson started a new company.,Thomas Watson visited Scotland for the first time.,,,,,B,Alexander made the first telephone call.,first telephone call,その日に機械が完成し、ワトソン氏を呼んだことが「歴史上最初の電話」と記述されています。,first telephone call,EIKEN_Grade3,reading,date_detail,first telephone call,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q30,G3SET01,30,長文の内容一致選択,reading_comprehension,G3SET01-P03,What is this story about?,,The history of a famous teacher.,How to help people in the United States.,A man who invented the telephone.,Why music is important for children.,,,,,C,A man who invented the telephone.,invented the telephone,文全体が電話の発明者アレクサンダー・グラハム・ベルの功績について述べています。,invented the telephone,EIKEN_Grade3,reading,main_idea,invented the telephone,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET02-Q01,G3SET02,1,短文の語句空所補充,sentence_fill,,"A: Can I borrow your book? B: Sure. I’ll (  ) it to you, but please give it back to me next week.",,lend,catch,cost,close,貸す,捕まえる,費用がかかる,閉める,A,lend,貸す,「本を貸してくれますか？」という問いに対し、「来週返してくれるなら lend（貸す）よ」となります。borrow（借りる）と対になる単語です。,lend = 貸す / borrow = 借りる。lend A B は「AにBを貸す」。,EIKEN_Grade3,vocabulary,verb_choice,lend,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q02,G3SET02,2,短文の語句空所補充,sentence_fill,,This pool is so (  ) that I can’t see the bottom. It can be dangerous.,,high,cold,short,deep,高い,冷たい,短い,深い,D,deep,深い,「底が見えないほど deep（深い）」となります。後半の dangerous（危険）という言葉とも合致します。,deep = 深い。反対語は shallow（浅い）。,EIKEN_Grade3,vocabulary,adjective_meaning,deep,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q03,G3SET02,3,短文の語句空所補充,sentence_fill,,"A: What was my (  ) score on the test, Ms. Green? B: It was 80 points, John.",,quick,clean,happy,total,速い,きれいな,幸せな,合計の,D,total,合計の,テストの「合計（total）点」を尋ねる文脈です。,total score = 合計点。,EIKEN_Grade3,vocabulary,adjective_usage,total,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q04,G3SET02,4,短文の語句空所補充,sentence_fill,,A: Who takes part in the Olympic Games? B: Many famous (  ) from around the world.,,passengers,travelers,animals,athletes,乗客,旅行者,動物,選手,D,athletes,運動選手,オリンピックに参加するのは「有名な athletes（運動選手）」です。,athlete = 運動選手。Olympic Games と一緒に出やすい語。,EIKEN_Grade3,vocabulary,noun_meaning,athletes,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q05,G3SET02,5,短文の語句空所補充,sentence_fill,,Our trip plan looks (  ). I’m really looking forward to it.,,poor,cold,perfect,slow,貧しい／下手な,寒い,完璧な,遅い,C,perfect,完璧な・理想的な,楽しみにしていることから、計画が perfect（完璧・理想的）であることを示しています。,look perfect = 完璧に見える。,EIKEN_Grade3,vocabulary,context_adjective,perfect,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q06,G3SET02,6,短文の語句空所補充,sentence_fill,,"When you get off the train, please (  ) the signs to the exit.",,spend,reach,meet,follow,費やす,到着する,会う,従う／たどる,D,follow,従う・沿って行く,「出口への標識に follow（従って・沿って）」行きなさいという道案内の表現です。,follow the signs = 標識に従う。,EIKEN_Grade3,phrase,verb_phrase,follow,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q07,G3SET02,7,短文の語句空所補充,sentence_fill,,"A: What do you like to do on weekends, Bob? B: I like to (  ) at home. I often watch a movie.",,move,plan,relax,grow,動く／引っ越す,計画する,くつろぐ,成長する,C,relax,くつろぐ,週末に家で映画を見るなどして relax（くつろぐ）のが好きだという内容です。,relax at home = 家でくつろぐ。,EIKEN_Grade3,vocabulary,verb_meaning,relax,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q08,G3SET02,8,短文の語句空所補充,sentence_fill,,"Your shoes are so (  ), John. You have to clean them.",,clever,common,dirty,foolish,賢い,普通の,汚い,ばかな,C,dirty,汚れている,「洗わなければならない」という後ろの文から、靴が dirty（汚れている）と判断できます。,dirty shoes = 汚れた靴。,EIKEN_Grade3,vocabulary,adjective_meaning,dirty,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q09,G3SET02,9,短文の語句空所補充,sentence_fill,,A: What happened to your leg? B: I had an (  ). I fell down the stairs this morning.,,accident,advice,adult,addition,事故,助言,大人,追加,A,accident,事故・災難,階段から落ちたのは accident（事故・災難）です。,have an accident = 事故にあう。,EIKEN_Grade3,vocabulary,noun_meaning,accident,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q10,G3SET02,10,短文の語句空所補充,sentence_fill,,"A: Mom, I ate my sandwich, but I’m still hungry. B: OK. Wait a minute. I’ll make you (  ) one.",,another,near,every,much,もう一つの,近い,すべての,多くの,A,another,もう一つの,まだお腹が空いているので、「another（もう一つの・別の）」サンドイッチを作るという流れです。,another one = もう一つ。,EIKEN_Grade3,grammar,determiner,another,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q11,G3SET02,11,短文の語句空所補充,sentence_fill,,Do you know where the library is? It’s (  ) the post office.,,during,of,until,beside,〜の間,〜の,〜まで,〜のそばに,D,beside,〜のそばに,図書館の場所を説明する beside（〜のそばに）が適切です。,beside = 〜のそばに / besides = そのうえ。,EIKEN_Grade3,grammar,preposition,beside,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q12,G3SET02,12,短文の語句空所補充,sentence_fill,,(  ) by scientists shows that global warming is a big problem.,,Research,Energy,Environment,Danger,研究,エネルギー,環境,危険,A,Research,研究・調査,「科学者による Research（調査・研究）」が温暖化を問題だと示しています。,research by scientists = 科学者による研究。,EIKEN_Grade3,vocabulary,noun_meaning,research,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q13,G3SET02,13,短文の語句空所補充,sentence_fill,,John has an (  ) tomorrow. He hopes to get a new job.,,interview,airport,example,excuse,面接,空港,例,言い訳,A,interview,面接,新しい仕事を得るために明日 interview（面接）があるという意味です。,job interview = 就職面接。,EIKEN_Grade3,vocabulary,noun_meaning,interview,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q14,G3SET02,14,短文の語句空所補充,sentence_fill,,"A: I love the beach. I want to stay here (  ). B: Me, too. But we have to leave tomorrow.",,slowly,ever,forever,soon,ゆっくり,これまでに,永遠に,すぐに,C,forever,永遠に,「ここに forever（永遠に）いたい」という願望を述べています。,stay here forever = ここにずっといる。,EIKEN_Grade3,vocabulary,adverb_meaning,forever,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q15,G3SET02,15,短文の語句空所補充,sentence_fill,,"This shirt doesn’t (  ) me. It’s too small. I’d like a bigger one, please.",,fight,fit,keep,collect,戦う,サイズが合う,保つ,集める,B,fit,サイズが合う,シャツが小さすぎて fit（サイズが合う）しないという状態を指します。,fit me = 私にサイズが合う。,EIKEN_Grade3,vocabulary,verb_meaning,fit,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q16,G3SET02,16,会話文の文選択,dialogue_completion,,A: Let’s go to the new aquarium and see the fish. B: (  ) I want to see the dolphins.,,Good idea!,I’m sorry.,You’re welcome.,Not at all.,いい考えだね！,ごめんなさい。,どういたしまして。,どういたしまして／全然。,A,Good idea!,いい考えだね！,水族館に行こうという誘いに対し、「いい考えだね！（Good idea!）」と賛成し、具体的に見たい動物（イルカ）を挙げています。,Good idea! = いい考えだね。誘いへの賛成表現。,EIKEN_Grade3,conversation,agreement,Good idea,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q17,G3SET02,17,会話文の文選択,dialogue_completion,,A: Oh no! My pen has no more ink! Do you have one that I can borrow? B: (  ) A: Thank you very much.,,That’s right.,"Yes, here you are.",It’s too expensive.,I’m studying now.,その通りです。,はい、どうぞ。,高すぎます。,今勉強しています。,B,"Yes, here you are.",はい、どうぞ。,"ペンを貸してほしいという依頼に対し、「はい、どうぞ（Yes, here you are.）」と手渡す場面です。",Here you are. = はい、どうぞ。,EIKEN_Grade3,conversation,offer_response,here you are,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q18,G3SET02,18,会話文の文選択,dialogue_completion,,"A: Jane, how does this dress look on me? B: Really nice. (  )",,Look in the mirror over there.,It’s raining hard outside.,I bought it yesterday.,I don’t know him.,あそこの鏡を見て。,外は大雨です。,昨日それを買いました。,彼を知りません。,A,Look in the mirror over there.,あそこの鏡を見て。,ドレスが似合うか聞かれ、「鏡を見てごらん（Look in the mirror...）」と促す自然な対話です。,look in the mirror = 鏡を見る。,EIKEN_Grade3,conversation,context_response,mirror,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q19,G3SET02,19,会話文の文選択,dialogue_completion,,"A: Mom, can we make an apple pie together? B: Sure. (  ) but I think we can do it.",,"It’s a little difficult,","It’s very cheap,","It’s too large,","It’s very fast,",少し難しいけれど、,とても安いけれど、,大きすぎるけれど、,とても速いけれど、,A,"It’s a little difficult,",少し難しいけれど、,アップルパイ作りを提案され、「少し難しい（difficult）けれど、できると思うよ」と返しています。,a little difficult = 少し難しい。,EIKEN_Grade3,conversation,logical_flow,difficult,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q20,G3SET02,20,会話文の文選択,dialogue_completion,,"A: Tommy, turn off the TV and do your homework. B: (  )",,I’ll go to school now.,"I’ve already finished it, Mom.",I don’t like movies.,It takes ten minutes.,今から学校へ行きます。,もう終わったよ、お母さん。,映画は好きではありません。,10分かかります。,B,"I’ve already finished it, Mom.",もう終わったよ、お母さん。,宿題をしなさいという注意に対し、「もう終わったよ（I’ve already finished it.）」と答えています。,already = もう、すでに。現在完了と一緒に使われやすい。,EIKEN_Grade3,conversation,response_to_instruction,already finished,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q21,G3SET02,21,長文の内容一致選択,reading_comprehension,G3SET02-P01,Where will the food festival be held?,,At Vanessa Wong’s house.,In Central Park.,At a cooking school.,In a large restaurant.,ヴァネッサ・ウォンさんの家。,セントラルパークで。,料理学校で。,大きなレストランで。,B,In Central Park.,セントラルパークで,掲示の「Place」の欄に Central Park と記載されています。,Place = 場所。held = 開催される。,EIKEN_Grade3,reading,detail_location,Central Park,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q22,G3SET02,22,長文の内容一致選択,reading_comprehension,G3SET02-P01,People who want to take a cooking lesson have to,,know how to cook Chinese food.,send an e-mail to Vanessa Wong.,go to the blue tent in the morning.,check the festival’s website.,中華料理の作り方を知っている。,ヴァネッサ・ウォンさんにメールを送る。,朝に青いテントへ行く。,フェスティバルのウェブサイトを確認する。,B,send an e-mail to Vanessa Wong.,ヴァネッサ・ウォンにメールを送る,注釈に please send an e-mail to Vanessa Wong（メールを送ってください）とあります。,send an e-mail to ~ = 〜にメールを送る。,EIKEN_Grade3,reading,detail_requirement,send an e-mail,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q23,G3SET02,23,長文の内容一致選択,reading_comprehension,G3SET02-P02,Why did Brian send this e-mail to Miranda?,,To ask her to visit Grandma in February.,To talk about plans for a family reunion.,To tell her about a new park.,To ask for help with his homework.,2月におばあちゃんを訪ねるよう頼むため。,家族の集まりの計画について話すため。,新しい公園について伝えるため。,宿題を手伝ってもらうため。,B,To talk about plans for a family reunion.,家族の集まりの計画について話すため,本文に I want to talk about planning the family reunion と目的が明記されています。,family reunion = 家族の集まり・親族の再会。,EIKEN_Grade3,reading,main_purpose,family reunion,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q24,G3SET02,24,長文の内容一致選択,reading_comprehension,G3SET02-P02,Why can’t the family meet at Grandma’s house this year?,,Grandma is too busy in July.,Grandma’s house is too far away.,Grandma moved to a smaller home.,Grandma is going on a trip.,おばあちゃんが7月は忙しすぎるから。,おばあちゃんの家が遠すぎるから。,おばあちゃんが小さい家に引っ越したから。,おばあちゃんが旅行に行くから。,C,Grandma moved to a smaller home.,おばあちゃんがより小さい家に引っ越したから,She moved... her home is too small now（引っ越して、家が狭くなった）という理由が述べられています。,move = 引っ越す。too small = 小さすぎる。,EIKEN_Grade3,reading,reason,smaller home,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q25,G3SET02,25,長文の内容一致選択,reading_comprehension,G3SET02-P02,What does Brian offer to do for Miranda?,,Buy a gift for Grandma.,Help her prepare for the reunion.,Move her things to a new house.,Meet her at the park.,おばあちゃんへの贈り物を買う。,集まりの準備を手伝う。,彼女の物を新しい家へ運ぶ。,公園で彼女に会う。,B,Help her prepare for the reunion.,集まりの準備を手伝う,I can help you to prepare（準備を手伝うよ）と提案しています。,prepare for ~ = 〜の準備をする。,EIKEN_Grade3,reading,detail_action,prepare,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q26,G3SET02,26,長文の内容一致選択,reading_comprehension,G3SET02-P03,Why was it difficult to grow vegetables at first?,,Because the sisters were too busy.,Because the weather was very cold.,Because the farm was too small.,Because they didn't have enough seeds.,姉妹が忙しすぎたから。,天候がとても寒かったから。,農場が小さすぎたから。,種が足りなかったから。,B,Because the weather was very cold.,天気がとても寒かったから,第1段落に because the weather is very cold とあります。,because = なぜなら。理由を表す接続詞。,EIKEN_Grade3,reading,reason,cold weather,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q27,G3SET02,27,長文の内容一致選択,reading_comprehension,G3SET02-P03,How did the sisters keep the plants warm?,,They used large glass boxes.,They moved the plants to a city.,They used solar power.,They grew them in the kitchen.,大きなガラスの箱を使った。,植物を町へ移した。,太陽光発電を使った。,台所で育てた。,A,They used large glass boxes.,大きなガラスの箱を使った,寒さ対策として They used large glass boxes（大きなガラスの箱を使った）とあります。,large glass boxes = 大きなガラスの箱。,EIKEN_Grade3,reading,detail_method,glass boxes,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q28,G3SET02,28,長文の内容一致選択,reading_comprehension,G3SET02-P03,What did the sisters do in 1945?,,They moved to a different country.,They started a food company.,They went to a cooking school.,They visited a famous festival.,別の国へ引っ越した。,食品会社を始めた。,料理学校へ行った。,有名なお祭りを訪れた。,B,They started a food company.,食品会社を始めた,第2段落の冒頭に they started a food company とあります。,start a company = 会社を始める。,EIKEN_Grade3,reading,detail_time,1945,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-Q29,G3SET02,29,長文の内容一致選択,reading_comprehension,G3SET02-P03,People were surprised by the vegetables because they were,,very expensive.,grown by local pilots.,fresh even in winter.,used in a parade.,とても高価だった。,地元のパイロットによって育てられた。,冬でも新鮮だった。,パレードで使われた。,C,fresh even in winter.,冬でも新鮮だった,冬でも「新鮮で美味しい（fresh and delicious even in winter）」ことに人々は驚きました。,fresh = 新鮮な。even in winter = 冬でさえ。,EIKEN_Grade3,reading,detail_reason,fresh,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
