passage_id,set_id,passage_no,genre,passage_type,title,title_ja,passage_text,passage_text_ja,key_points_ja,source_style
G3SET04-P02,G3SET04,2,email,email,Our Science Project,理科のプロジェクト,"From: David Miller
To: Saki Tanaka
Date: September 5
Subject: Our science project

Hi Saki,
Thank you for helping me with our science project yesterday. I learned a lot about Japanese animals from your book. I left the book at school, so I cannot read it tonight. Could you bring it to the library tomorrow after school? I will be there from 3:30 to 4:30.
Also, I found some pictures on the Internet. They are useful, but I do not know how to print them. Can you show me how to do it? We need to finish our poster by Friday.
Your friend,
David",デイビッドがサキに理科のプロジェクトについて送ったメールです。本を学校に置き忘れたこと、翌日放課後に図書館へ持ってきてほしいこと、写真の印刷方法を教えてほしいことが書かれています。,理科プロジェクト／本を学校に忘れた／放課後の図書館／印刷方法,Original item modeled on EIKEN Grade 3 format; uses uploaded vocabulary/phrase list as reference; not copied from past exam questions.
G3SET04-P03,G3SET04,3,story,story,A New Friend,新しい友達,"A New Friend

When Rina moved to a new town, she was worried about going to a new school. At first, she did not know anyone in her class. During lunch, she sat by herself and read a book.

One day, a girl named Mei talked to Rina. Mei was interested in the book Rina was reading because it was about space. Mei also liked stars and planets. The two girls talked for a long time and soon became friends with each other.

The next week, their teacher asked the class to make posters about their favorite things. Rina and Mei decided to make a poster about the moon. They went to the library after school and found out many interesting facts. Rina drew pictures, and Mei wrote sentences.

On Friday, they made a speech in front of the class. Rina was nervous, but Mei smiled at her. Rina did her best, and their classmates enjoyed the poster. After class, Rina thought, “I’m glad I came to this school.”",転校して不安だったリナが、本をきっかけにメイと友達になり、月についてのポスター発表を成功させる物語です。,転校／宇宙の本／友達になる／月のポスター／発表,Original item modeled on EIKEN Grade 3 format; uses uploaded vocabulary/phrase list as reference; not copied from past exam questions.
G3SET05-P01,G3SET05,1,notice,notice,Music Room Rules,音楽室のルール,"Music Room Rules
Our music room is open after school from 3:30 p.m. to 5:00 p.m. Students can practice the piano, guitar, or violin there.
Please follow these rules:
1. Write down your name in the notebook before you start.
2. Do not make too much noise in the hall.
3. Turn off the lights and close the windows before you leave.
4. If you want to use the room on Saturday, ask Mr. Brown by Thursday.
Thank you for keeping the room clean.",放課後に音楽室を使うためのルールです。名前を書き、廊下で騒がず、帰る前に電気を消して窓を閉めます。土曜日に使いたい場合は木曜日までに先生に頼みます。,音楽室は放課後利用可／名前を書く／土曜日利用は木曜日までに先生へ,original_eiken3_set05_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions
G3SET05-P02,G3SET05,2,email,email,A Visit from Abroad,海外からの訪問,"From: Ben Carter
To: Yuki Sato
Date: July 3
Subject: My trip to Japan

Hi Yuki,
I am very excited because I will visit Japan for the first time next month. My plane will arrive at Narita Airport at 10:30 on Saturday morning. Thank you for saying you can meet me there.
I would love to try Japanese food, but I cannot eat fish. Is there something good to eat near your house? Also, I want to buy a small gift for my sister. She is fond of cats, so maybe a cat notebook or a key chain would be nice.
Please tell your family that I am looking forward to meeting them. I will write to you again next week.
Your friend,
Ben",ベンがユキに、日本への初めての旅行について書いたメールです。空港に着く時間、食べられないもの、妹への猫のプレゼントについて伝えています。,初めて日本に来る／空港到着は土曜午前10時半／魚は食べられない／妹は猫好き,original_eiken3_set05_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions
G3SET05-P03,G3SET05,3,story,story,The Lost Map,なくした地図,"The Lost Map
Ken and his classmates went on a trip to an old town. Their teacher gave each group a map and told them to walk around the town and find three famous places. Ken was in a group with Aya and Tom.
At first, everything went well. They found an old bridge and a small museum. However, when they sat down in the park to take a break, Ken noticed that the map was gone. He was worried because the group still had to find a famous clock tower.
Aya said, “Let’s think about where we used the map last.” Tom remembered that Ken looked at the map in front of the museum. The three students went back there on foot. A woman who worked at the museum was standing near the door. She smiled at them and said, “Are you looking for this?” She had their map.
Ken thanked her for helping them. After that, the group went straight to the clock tower and arrived on time. Ken learned that it is important to take care of things during a trip.",ケンたちは古い町への遠足で地図をなくします。最後に使った場所を考え、博物館に戻ると、職員の女性が地図を持っていました。最後は時計台に時間どおり着きました。,古い町での遠足／地図をなくす／博物館に戻る／時間どおり時計台へ,original_eiken3_set05_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions
G3SET06-P01,G3SET06,1,notice,notice,Library Help Day,図書館お手伝いデー,"Library Help Day
This Saturday, Green Town Library will have a help day from 10:00 a.m. to 2:00 p.m. We need students to put books back on the shelves and clean tables. Please arrive in front of the library by 9:50. Bring a drink and wear comfortable shoes. Students who help for two hours or more will receive a small notebook. If you want to join, please write your name on the list at school by Friday.",今週土曜日、グリーンタウン図書館で10時から2時まで手伝いの日があります。学生は本を棚に戻したり、机をきれいにしたりします。9時50分までに図書館の前に集合します。飲み物を持ち、歩きやすい靴をはきます。2時間以上手伝った生徒は小さなノートをもらえます。参加したい場合は金曜日までに学校のリストに名前を書きます。,土曜日10時〜2時／図書館の前に9:50集合／2時間以上でノートがもらえる,original_eiken3_set06_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions
G3SET06-P02,G3SET06,2,email,email,Message from Emily,エミリーからのメール,"Hi Yuta,
Thank you for inviting me to your school festival next month. I would love to go. I have never been to a Japanese school festival, so I am excited. I will arrive at Midori Station at 10:30 a.m. Could you meet me there? Also, please tell me what to bring. I heard your class will sell cookies. I can help you if you need another student at your table.
See you soon,
Emily",エミリーは来月の学校祭に招待してくれたことにお礼を言い、ぜひ行きたいと書いています。日本の学校祭に行ったことがなく楽しみにしています。10時30分にみどり駅に着くので迎えに来てほしいと頼んでいます。また、何を持っていけばよいか聞き、クラスのクッキー販売も手伝えると言っています。,学校祭への返事／10:30に駅到着／持ち物と手伝いについて質問,original_eiken3_set06_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions
G3SET06-P03,G3SET06,3,story,story,The Garden Bench,庭のベンチ,"The Garden Bench
Kenta's grandfather used to sit on an old bench in the garden every evening. He liked to watch the birds and talk with Kenta there. After his grandfather moved to a smaller house, the bench stayed in the garden, but no one used it for a long time.
One Sunday, Kenta noticed that the bench was dirty and broken. He wanted to throw it away at first, but then he remembered many happy talks with his grandfather. He asked his father to help him fix it. They cleaned it, changed some pieces of wood, and painted it blue.
When Kenta sent a picture of the bench to his grandfather, his grandfather called him right away. He sounded very happy. The next weekend, Kenta visited him and gave him a small photo of the bench. His grandfather put it next to his bed and said, ""This makes me feel at home."" Kenta learned that old things can keep special memories.",健太の祖父は以前、毎晩庭の古いベンチに座って鳥を見たり健太と話したりしていました。祖父が小さい家に引っ越した後、ベンチは長い間使われませんでした。ある日、健太はベンチが汚れて壊れていることに気づき、最初は捨てようと思いましたが、祖父との思い出を思い出し、父に手伝ってもらって直しました。写真を祖父に送ると祖父はとても喜びました。健太は古い物が特別な思い出を残せると学びました。,祖父との思い出／ベンチを修理／写真を見た祖父が喜ぶ,original_eiken3_set06_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions
G3SET07-P01,G3SET07,1,notice,notice,After-School Art Club,放課後アートクラブ,"After-School Art Club
The art club will meet in Room 203 every Wednesday in July from 3:30 to 4:30 p.m. Students will learn how to draw animals and make small cards. Please bring colored pencils and a notebook. You do not need to be good at drawing. Our teacher will show easy ways to draw. If you want to join, give your name to Ms. Carter by next Monday.",7月の毎週水曜日、午後3時30分から4時30分まで203教室でアートクラブがあります。生徒は動物の描き方や小さなカードの作り方を学びます。色鉛筆とノートを持ってきます。絵が得意である必要はありません。先生が簡単な描き方を教えてくれます。参加したい人は来週月曜日までにカーター先生に名前を伝えます。,7月の水曜日／203教室／色鉛筆とノート持参／月曜までに名前を伝える,original_eiken3_set07_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions_no_repeat
G3SET07-P02,G3SET07,2,email,email,Email from Noah,ノアからのメール,"Hi Saki,
Thank you for sending me pictures of your town. I am very interested in the old bridge near your school. It looks beautiful. My family will visit Japan in August, and we will stay in your city for two days. Could you show us the bridge? Also, please tell me how long it takes to walk there from the station. My little sister gets tired easily, so we may take a bus.
Your friend,
Noah",ノアは咲が町の写真を送ってくれたことにお礼を言っています。学校の近くの古い橋にとても興味があり、美しいと思っています。8月に家族で日本を訪れ、その町に2日間滞在します。橋を案内してほしいこと、駅から歩いてどのくらいかかるかを聞いています。妹が疲れやすいので、バスに乗るかもしれません。,古い橋に興味がある／8月に2日間滞在／駅からの時間を質問／妹が疲れやすい,original_eiken3_set07_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions_no_repeat
G3SET07-P03,G3SET07,3,story,story,The Morning Practice,朝の練習,"The Morning Practice
Aya was on the school tennis team, but she was not good at serving the ball. During games, she often became worried and made mistakes. One day, her coach said, ""Do not give up. Practice a little every day, and you will do better.""
After that, Aya decided to practice before school. At first, it was hard for her to get up early. She was almost late for class twice. However, her friend Rina came to the tennis court with her, and they practiced together. Rina counted Aya's good serves and wrote the number in a notebook.
After a month, Aya could serve much better. In the next game, she was still nervous, but she remembered her morning practice and did her best. Her team won the game. Aya learned that doing something for a long time can make a small dream come true.",彩は学校のテニス部に入っていましたが、サーブが得意ではありませんでした。試合では心配になり、よくミスをしました。コーチに毎日少しずつ練習すれば上手になると言われ、彩は登校前に練習することに決めました。最初は早起きが大変で、2回授業に遅れそうになりましたが、友達のリナが一緒に練習してくれました。1か月後、彩はサーブが上手になり、次の試合で最善を尽くしてチームが勝ちました。長く続けることで小さな夢が実現できると学びました。,サーブが苦手／朝練を始める／友達と練習／試合で勝つ／続ける大切さ,original_eiken3_set07_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions_no_repeat
G3SET08-P01,G3SET08,1,notice,notice,Winter Sports Day,冬のスポーツデー,"Winter Sports Day
The student council will have Winter Sports Day next month. Students can enjoy skating, a snowball game, and a short ski lesson.
Date: Saturday, February 10
Time: 10:00 a.m. to 3:00 p.m.
Place: North Park Sports Center
Please bring gloves, a warm jacket, and lunch. Hot tea will be served for free.
Students who want to join the ski lesson must write their names on the list in front of the teachers’ room by January 25. If the weather is very bad, the event will be moved to February 17.",生徒会が冬のスポーツデーを開催するお知らせです。スケート、雪合戦、短いスキー講習があります。,2月10日／手袋・暖かい上着・昼食を持参／スキー講習は1月25日までに記名／悪天候なら2月17日,"Original item modeled on EIKEN Grade 3 format; generated from user-provided EIKEN Grade 3 mock-bank style and Grade 3 phrase list; not copied from EIKEN past exams, not using Pre-2 materials."
G3SET08-P02,G3SET08,2,email,email,Email from Mia,ミアからのメール,"From: Mia
To: Haruto
Date: July 3
Subject: My first summer in Japan

Hi Haruto,
Thank you for inviting me to the summer festival next week. I have never been to a Japanese festival, so I am really looking forward to it. My mother bought me a blue yukata yesterday. I want to try it on before the festival, but I do not know how to wear it. Could your sister show me how to put it on?
Also, I heard there will be many food stands. I would like to try takoyaki because my teacher said it is very popular. After the festival, my father will pick me up at the station at 8:30 p.m. Please tell me what time we should meet.
Your friend,
Mia",ミアがハルトに夏祭りについて送ったメールです。初めての日本の祭りを楽しみにしており、浴衣の着方を教えてほしいと頼んでいます。,夏祭りに招待された／青い浴衣／着方を教えてほしい／たこ焼きを食べたい／父が駅で迎える,"Original item modeled on EIKEN Grade 3 format; generated from user-provided EIKEN Grade 3 mock-bank style and Grade 3 phrase list; not copied from EIKEN past exams, not using Pre-2 materials."
G3SET08-P03,G3SET08,3,story,story,The Old Clock,古い時計,"The Old Clock
Riku lived next door to an old man named Mr. Sato. Mr. Sato had a small repair shop. He fixed radios, clocks, and many other old things. Riku often stopped by the shop on his way home from school because he liked looking at the tools.
One day, Mr. Sato showed Riku a clock that did not work. It belonged to a woman who wanted to give it to her son. The clock was special because it had been in her family for many years. Mr. Sato asked Riku to help him clean the small parts. Riku was careful, but he made a mistake and dropped one part under the table. He felt very sorry.
Mr. Sato smiled and said, “Do not give up. We can find it together.” After a few minutes, Riku found the part. Little by little, they put the clock back together. At last, it began to work again.
The next day, the woman came to the shop. When she heard the clock’s sound, she looked very happy. Riku was proud of himself. He learned that old things can be important to people, and that careful work can make someone smile.",リクが佐藤さんの修理店で古い時計の修理を手伝う物語です。失敗してもあきらめず、最後に時計を直します。,近所の修理店／古い時計／部品を落とす／あきらめず探す／時計が直り女性が喜ぶ,"Original item modeled on EIKEN Grade 3 format; generated from user-provided EIKEN Grade 3 mock-bank style and Grade 3 phrase list; not copied from EIKEN past exams, not using Pre-2 materials."
G3SET09-P01,G3SET09,1,notice,notice,Science Fair Helpers Needed,サイエンスフェアの手伝い募集,"Science Fair Helpers Needed
Our school will have a science fair next Friday. We need students to help teachers before and after the event. Helpers will put posters on the walls, carry tables, and clean up the science room.
Date: Friday, October 18
Time: 3:30 p.m. to 5:30 p.m.
Place: Science Room 2
Students who help will receive a small notebook from the science club. Please write your name on the paper outside Science Room 2 by Wednesday. You do not have to bring anything, but please wear clothes that are easy to move in.",学校のサイエンスフェアの手伝いを募集するお知らせです。ポスターを貼る、机を運ぶ、理科室を片づけるなどの仕事があります。,10月18日／15:30〜17:30／理科室2／水曜までに名前を書く／小さなノートがもらえる,"Original item modeled on the user-provided EIKEN Grade 3 mock-bank style and Grade 3 phrase list; not copied from EIKEN past exams; not using EIKEN Pre-2 vocabulary, Pre-2 mock tests, or past exam content."
G3SET09-P02,G3SET09,2,email,email,Email from Liam,リアムからのメール,"From: Liam
To: Saki
Date: April 12
Subject: A bicycle ride

Hi Saki,
How are you? My brother and I are planning to ride our bicycles to Green Lake this Sunday. It is not far from my house, and the road along the river is safe. We will leave my house at nine in the morning and arrive at the lake before ten.
Would you like to come with us? We are going to have lunch near the lake, so please bring a sandwich or something else to eat. My brother will bring a small ball, and we can play after lunch. If it rains, we will stay home and try again next Sunday. Please call me by Friday night.
Your friend,
Liam",リアムがサキに、自転車でグリーン湖へ行く計画について送ったメールです。昼食を持ってくるよう伝えています。,日曜に自転車で湖へ／9時出発／昼食持参／雨なら翌週に延期／金曜夜までに電話,"Original item modeled on the user-provided EIKEN Grade 3 mock-bank style and Grade 3 phrase list; not copied from EIKEN past exams; not using EIKEN Pre-2 vocabulary, Pre-2 mock tests, or past exam content."
G3SET09-P03,G3SET09,3,story,story,The Rainy Baseball Game,雨の日の野球の試合,"The Rainy Baseball Game
Taku loved baseball, but he was not good at hitting the ball. His team had an important game on Saturday, so he practiced every day after school. His friend Leo often stayed with him and threw the ball again and again.
On the day of the game, it started to rain in the morning. Taku was worried that the game would be canceled, but after a while, the sky became bright. The game began one hour late. Taku sat on the bench at first, but in the last inning, his coach asked him to hit.
Taku felt nervous when he stood in front of the other team. The first ball was too fast, and he missed it. Then he remembered Leo’s words: “Watch the ball until the end.” Taku took a deep breath. When the next ball came, he hit it hard. His team won the game.
After the game, Taku thanked Leo for helping him. Leo smiled and said, “You did your best.” Taku learned that practicing with a good friend could give him courage.",野球が好きだが打つのが苦手なタクが、友達レオと練習し、試合で勇気を出して打つ物語です。,タクは打つのが苦手／レオが練習を手伝う／雨で1時間遅れる／最後に打って勝つ／友達との練習が勇気をくれる,"Original item modeled on the user-provided EIKEN Grade 3 mock-bank style and Grade 3 phrase list; not copied from EIKEN past exams; not using EIKEN Pre-2 vocabulary, Pre-2 mock tests, or past exam content."
G3SET10-P01,G3SET10,1,notice,notice,Weekend Cooking Class,週末料理教室,"Weekend Cooking Class

The community center will have a cooking class for junior high school students this Saturday. Students will learn how to make vegetable soup and rice balls.

Date: Saturday, November 14
Time: 10:00 a.m. to 12:30 p.m.
Place: Community Center Kitchen
Cost: 300 yen

Please bring an apron and a small towel. You do not need to bring food. The teacher will prepare all the vegetables and rice.

Only twenty students can join the class. If you want to join, write your name on the list at the community center by Thursday evening.","週末料理教室

公民館では今週土曜日，中学生向けの料理教室があります。生徒は野菜スープとおにぎりの作り方を学びます。

日時：11月14日（土）午前10時〜午後12時30分
場所：公民館キッチン
費用：300円

エプロンと小さなタオルを持ってきてください。食べ物を持ってくる必要はありません。先生が野菜と米をすべて準備します。

参加できるのは20人だけです。参加したい人は，木曜日の夕方までに公民館のリストに名前を書いてください。",料理教室の日時・場所・持ち物・申込期限を読み取る問題。,original_eiken_grade3_style_based_on_user_mock_bank_no_pre2_no_real_past_questions
G3SET10-P02,G3SET10,2,email,email,Email from Grace,グレースからのメール,"From: Grace
To: Haruto
Subject: The school newspaper

Hi Haruto,

Thank you for showing me your photos from the school festival. They were very nice. Our English club is making a small school newspaper next month, and we want to use some photos of school events. May we use two of your photos?

We also need a short report about the festival. You talked to many students that day, so I think you can write a good report. It does not have to be long. About ten sentences is enough.

Our club meeting is next Tuesday after school in Room 2-B. If you can come, please bring the photos on a USB memory. If you cannot come, you can send them to me by email.

Your friend,
Grace","差出人：Grace
宛先：Haruto
件名：学校新聞

こんにちは，ハルト。

学校祭の写真を見せてくれてありがとう。とてもよかったです。私たちの英語クラブは来月，小さな学校新聞を作ります。学校行事の写真をいくつか使いたいです。あなたの写真を2枚使ってもいいですか。

また，学校祭についての短いレポートも必要です。あなたはその日，多くの生徒と話していたので，よいレポートを書けると思います。長くなくてかまいません。10文くらいで十分です。

クラブのミーティングは来週火曜日の放課後，2-B教室であります。来られるなら，USBメモリに写真を入れて持ってきてください。来られないなら，メールで送ってもかまいません。

友だちより
Grace",写真使用の依頼，レポートの依頼，ミーティング日時と代替手段を読み取る問題。,original_eiken_grade3_style_based_on_user_mock_bank_no_pre2_no_real_past_questions
G3SET10-P03,G3SET10,3,story,story,The Small Blue Box,小さな青い箱,"The Small Blue Box

On Sunday morning, Riko was cleaning her room. Under her desk, she found a small blue box. She did not remember seeing it before. When she opened it, there were old postcards inside. Some were from Kyoto, and others were from places near the sea.

Riko showed the box to her mother. Her mother smiled and said, ""These postcards were from your grandfather. He used to send them to me when I was a student."" Riko was surprised because her grandfather did not talk much about his trips.

After lunch, Riko called her grandfather and asked him about the postcards. He was glad to hear about the box. He told her stories about the places he visited. Riko wrote down the names of the towns in her notebook.

The next week, Riko made a map and put the postcards around it. She took it to school for her social studies class. Her teacher and classmates enjoyed looking at it. Riko learned that old things can tell interesting stories about people and places.","小さな青い箱

日曜日の朝，リコは部屋を掃除していました。机の下で，小さな青い箱を見つけました。彼女はそれを前に見た覚えがありませんでした。開けてみると，中には古い絵はがきが入っていました。京都からのものもあり，海の近くの場所からのものもありました。

リコがその箱を母に見せると，母は笑って言いました。「これはおじいちゃんからの絵はがきよ。私が学生だったころ，おじいちゃんが送ってくれたの。」リコは驚きました。祖父は旅行についてあまり話さなかったからです。

昼食後，リコは祖父に電話して，絵はがきについて尋ねました。祖父はその箱のことを聞いてうれしそうでした。祖父は訪れた場所について話してくれました。リコは町の名前をノートに書きとめました。

翌週，リコは地図を作り，その周りに絵はがきを貼りました。社会の授業にそれを持っていきました。先生とクラスメートはそれを見るのを楽しみました。リコは，古い物が人や場所についての面白い話を伝えてくれることを学びました。",古い絵はがきから祖父の旅の話を知り，授業発表につなげる物語。,original_eiken_grade3_style_based_on_user_mock_bank_no_pre2_no_real_past_questions
