id,word,level,frequency,part_of_speech,meaning_ja,meaning_cn,phrase,example_en,example_ja,example_cn,synonym
914,anything else,eiken3,914,熟語,ほかの何か,别的东西,anything else,Do you need anything else?,ほかに何か必要ですか。,你还需要别的吗？,
915,"arrive in [at,on] ~",eiken3,915,熟語,〜に到着する,到达……,arrive at school,We arrived at school before eight.,私たちは8時前に学校に着きました。,我们八点前到了学校。,get to
916,as ~ as A can,eiken3,916,熟語,Aができるだけ〜,尽可能……,as soon as I can,I will call you as soon as I can.,できるだけ早くあなたに電話します。,我会尽快给你打电话。,
917,as usual,eiken3,917,熟語,いつものように,像往常一样,as usual,She got up at six as usual.,彼女はいつものように6時に起きました。,她像往常一样六点起床。,
918,ask (A) for ~,eiken3,918,熟語,Aに〜を求める,向A请求……,ask for help,I asked my teacher for help.,私は先生に助けを求めました。,我向老师求助。,
919,ask A to do,eiken3,919,熟語,Aに〜するよう頼む,请求A做……,ask him to come,I asked him to come early.,私は彼に早く来るよう頼みました。,我请他早点来。,
920,at first,eiken3,920,熟語,最初は,起初,at first,"At first, I did not like math.",最初は数学が好きではありませんでした。,起初我不喜欢数学。,
921,at last,eiken3,921,熟語,ついに；とうとう,终于,at last,"At last, we found the lost dog.",ついに私たちは迷子の犬を見つけました。,终于我们找到了走失的狗。,finally
922,at school,eiken3,922,熟語,学校で,在学校,at school,She has many friends at school.,彼女は学校にたくさん友達がいます。,她在学校有很多朋友。,
923,at the end of ~,eiken3,923,熟語,〜の終わりに,在……的最后,at the end of class,We cleaned the room at the end of class.,授業の終わりに教室を掃除しました。,我们在课的最后打扫了教室。,
924,be able to do,eiken3,924,熟語,〜することができる,能够做……,be able to swim,My brother is able to swim fast.,私の兄は速く泳ぐことができます。,我哥哥能游得很快。,can
925,be absent from ~,eiken3,925,熟語,〜を休んでいる,缺席……,be absent from school,He was absent from school yesterday.,彼は昨日学校を休みました。,他昨天没去学校。,
926,be born,eiken3,926,熟語,生まれる,出生,be born in Canada,She was born in Canada.,彼女はカナダで生まれました。,她出生在加拿大。,
927,be covered with ~,eiken3,927,熟語,〜でおおわれている,被……覆盖,be covered with snow,The ground was covered with snow.,地面は雪でおおわれていました。,地面被雪覆盖了。,
928,be different from ~,eiken3,928,熟語,〜と違う,和……不同,be different from mine,His answer is different from mine.,彼の答えは私のものと違います。,他的答案和我的不同。,
929,be famous for ~,eiken3,929,熟語,〜で有名である,因……而有名,be famous for sushi,This town is famous for sushi.,この町は寿司で有名です。,这个城镇因寿司而有名。,
930,be full of ~,eiken3,930,熟語,〜でいっぱいである,充满……,be full of stars,The sky was full of stars.,空は星でいっぱいでした。,天空布满了星星。,
931,be glad to do,eiken3,931,熟語,〜してうれしい,很高兴做……,be glad to meet you,I am glad to meet you today.,今日あなたに会えてうれしいです。,今天见到你我很高兴。,
932,be good at ~,eiken3,932,熟語,〜が得意である,擅长……,be good at soccer,My uncle is good at soccer.,私のおじはサッカーが得意です。,我叔叔擅长足球。,
933,be in a hurry,eiken3,933,熟語,急いでいる,匆忙,be in a hurry,I was in a hurry this morning.,今朝、私は急いでいました。,今天早上我很匆忙。,
934,be in trouble,eiken3,934,熟語,困っている,遇到麻烦,be in trouble,Call me if you are in trouble.,困ったら私に電話してください。,遇到麻烦就给我打电话。,
935,be interested in ~,eiken3,935,熟語,〜に興味がある,对……感兴趣,be interested in history,I am interested in Japanese history.,私は日本の歴史に興味があります。,我对日本历史感兴趣。,
936,be late for ~,eiken3,936,熟語,〜に遅れる,迟到,be late for class,Don't be late for class tomorrow.,明日、授業に遅れないでください。,明天上课不要迟到。,
937,be out,eiken3,937,熟語,外出している,不在；外出,be out now,My father is out now.,父は今外出しています。,我爸爸现在出去了。,
938,be proud of ~,eiken3,938,熟語,〜を誇りに思う,以……为豪,be proud of my son,She is proud of her son.,彼女は息子を誇りに思っています。,她为儿子感到骄傲。,
939,be ready for ~,eiken3,939,熟語,〜の準備ができている,为……做好准备,be ready for the test,I am ready for the science test.,理科のテストの準備ができています。,我为科学考试做好了准备。,
940,be ready to do,eiken3,940,熟語,〜する準備ができている,准备好做……,be ready to leave,Are you ready to leave now?,今出発する準備はできていますか。,你现在准备好出发了吗？,
941,be surprised at ~,eiken3,941,熟語,〜に驚く,对……感到惊讶,be surprised at the news,We were surprised at the news.,私たちはそのニュースに驚きました。,我们对那条新闻感到惊讶。,
942,be worried about ~,eiken3,942,熟語,〜を心配している,担心……,be worried about the exam,He is worried about the exam.,彼は試験を心配しています。,他担心考试。,
943,become friends with ~,eiken3,943,熟語,〜と友達になる,和……成为朋友,become friends with her,I became friends with a new student.,私は新しい生徒と友達になりました。,我和新同学成了朋友。,
944,between A and B,eiken3,944,熟語,AとBの間に,在A和B之间,between the bank and the store,The park is between the bank and the store.,公園は銀行と店の間にあります。,公园在银行和商店之间。,
945,both A and B,eiken3,945,熟語,AもBも両方,A和B两者都,both my aunt and uncle,Both my aunt and uncle like painting.,おばとおじは二人とも絵を描くのが好きです。,我的阿姨和叔叔都喜欢画画。,
946,both of ~,eiken3,946,熟語,〜の両方とも,两者都,both of them,Both of them were very kind.,彼らは二人ともとても親切でした。,他们两个都很亲切。,
947,by oneself,eiken3,947,熟語,ひとりで；自分で,独自；自己,live by oneself,Tom lives by himself in a small room.,トムは小さな部屋で一人で暮らしています。,汤姆一个人住在小房间里。,alone
948,clean up ~,eiken3,948,熟語,〜をきれいに片づける,打扫；整理,clean up the kitchen,Let's clean up the kitchen after dinner.,夕食の後で台所を片づけましょう。,晚饭后我们把厨房收拾一下吧。,
949,come back,eiken3,949,熟語,戻る,回来,come back soon,Please come back before six.,6時前に戻ってきてください。,请六点前回来。,return
950,come home,eiken3,950,熟語,帰宅する,回家,come home early,My sister came home early today.,姉は今日早く帰宅しました。,我姐姐今天很早回家了。,
951,come true,eiken3,951,熟語,実現する,实现,come true,I hope your dream will come true.,あなたの夢がかなうことを願っています。,希望你的梦想成真。,
952,decide to do,eiken3,952,熟語,〜することに決める,决定做……,decide to buy,We decided to buy a used bike.,私たちは中古の自転車を買うことに決めました。,我们决定买一辆二手自行车。,
953,do one's best,eiken3,953,熟語,最善を尽くす,尽力,do my best,I will do my best in the next game.,次の試合で全力を尽くします。,我会在下一场比赛中尽力。,try one's best
954,do one's homework,eiken3,954,熟語,宿題をする,做作业,do my homework,I did my homework before dinner.,夕食の前に宿題をしました。,我在晚饭前做了作业。,
955,do well,eiken3,955,熟語,うまくいく；成功する,做得好,do well on the test,How did you do well on the test?,テストはうまくできましたか。,考试考得好吗？,
956,each other,eiken3,956,熟語,お互い,互相,help each other,We should help each other.,私たちはお互いに助け合うべきです。,我们应该互相帮助。,
957,enjoy doing,eiken3,957,熟語,〜して楽しむ,享受做……,enjoy reading,I enjoy reading books on weekends.,週末に本を読むのを楽しんでいます。,我周末喜欢读书。,
958,enough for ~,eiken3,958,熟語,〜に十分な,对……足够,enough for everyone,There is enough food for everyone.,みんなに十分な食べ物があります。,有足够大家吃的食物。,
959,enough to do,eiken3,959,熟語,〜するのに十分な,足够做……,old enough to go,He is old enough to go alone.,彼は一人で行ける年齢です。,他已经大到可以一个人去了。,
960,exchange A for B,eiken3,960,熟語,AをBと交換する,把A换成B,exchange yen for dollars,I exchanged yen for dollars at the bank.,銀行で円をドルに交換しました。,我在银行把日元换成了美元。,
961,fall down,eiken3,961,熟語,倒れる；転ぶ,跌倒,fall down,The child fell down near the gate.,その子は門の近くで転びました。,那个孩子在门口附近摔倒了。,
962,find out ~,eiken3,962,熟語,〜を見つけ出す；知る,查明；发现,find out the answer,Let's find out the answer together.,一緒に答えを見つけましょう。,我们一起找出答案吧。,discover
963,finish doing,eiken3,963,熟語,〜し終える,做完……,finish washing,Have you finished washing your shoes?,靴を洗い終えましたか。,你洗完鞋了吗？,
964,first of all,eiken3,964,熟語,まず最初に,首先,first of all,"First of all, let me introduce myself.",まず最初に、自己紹介をさせてください。,首先，请让我自我介绍。,
965,for a long time,eiken3,965,熟語,長い間,很长时间,for a long time,I have wanted this bike for a long time.,私はこの自転車が長い間欲しかったです。,我想要这辆自行车很久了。,
966,for example,eiken3,966,熟語,例えば,例如,for example,"I like fruit, for example, apples and oranges.",私は果物が好きです。例えばリンゴやオレンジです。,我喜欢水果，例如苹果和橙子。,
967,for the first time,eiken3,967,熟語,初めて,第一次,for the first time,I visited Kyoto for the first time.,初めて京都を訪れました。,我第一次去了京都。,
968,from A to B,eiken3,968,熟語,AからBまで,从A到B,from Monday to Thursday,The pool is open from Monday to Thursday.,プールは月曜日から木曜日まで開いています。,游泳池从周一到周四开放。,
969,get a good grade,eiken3,969,熟語,よい成績をとる,取得好成绩,get a good grade,She got a good grade in English.,彼女は英語でよい成績を取りました。,她英语取得了好成绩。,
970,get a perfect score,eiken3,970,熟語,満点をとる,得满分,get a perfect score,He got a perfect score on the math test.,彼は数学のテストで満点を取りました。,他数学考试得了满分。,
971,get cold,eiken3,971,熟語,寒くなる,变冷,get cold,It gets cold in this room at night.,夜、この部屋は寒くなります。,晚上这个房间会变冷。,
972,get dark,eiken3,972,熟語,暗くなる,变暗,get dark,Let's go home before it gets dark.,暗くなる前に家に帰りましょう。,天黑前我们回家吧。,
973,get home,eiken3,973,熟語,帰宅する,到家,get home,I got home at seven last night.,昨夜7時に家に着きました。,昨晚七点我到家了。,
974,get hungry,eiken3,974,熟語,お腹がすく,肚子饿,get hungry,I get hungry after soccer practice.,サッカーの練習の後でお腹がすきます。,足球训练后我会肚子饿。,
975,get off (~),eiken3,975,熟語,〜を降りる,下车,get off the bus,Get off the bus at the next stop.,次のバス停でバスを降りてください。,请在下一站下车。,
976,get on (~),eiken3,976,熟語,〜に乗る,上车,get on the train,We got on the wrong train.,私たちは違う電車に乗ってしまいました。,我们坐错了火车。,
977,get to ~,eiken3,977,熟語,〜に着く,到达……,get to the airport,What time will we get to the airport?,何時に空港に着きますか。,我们几点到机场？,arrive at
978,give A a ride,eiken3,978,熟語,Aを車で送る,开车送A,give me a ride,My father gave me a ride to school.,父が私を学校まで車で送ってくれました。,爸爸开车送我去了学校。,
979,go and do,eiken3,979,熟語,〜しに行く,去做……,go and see,Let's go and see the new movie.,新しい映画を見に行きましょう。,我们去看新电影吧。,
980,go back home,eiken3,980,熟語,家に帰る,回家,go back home,We went back home after lunch.,昼食の後、家に帰りました。,午饭后我们回家了。,
981,go fishing,eiken3,981,熟語,釣りに行く,去钓鱼,go fishing,I often go fishing with my father.,私はよく父と釣りに行きます。,我经常和爸爸去钓鱼。,
982,go for a walk,eiken3,982,熟語,散歩に行く,去散步,go for a walk,I went for a walk in the park.,公園へ散歩に行きました。,我去公园散步了。,
983,go home,eiken3,983,熟語,帰宅する,回家,go home,"Children, it is time to go home.",子どもたち、家に帰る時間です。,孩子们，该回家了。,
984,go on a tour,eiken3,984,熟語,周遊旅行に出かける,去旅行团,go on a tour,We went on a bus tour around the city.,市内を回るバスツアーに出かけました。,我们参加了市内巴士游。,
985,go on a trip,eiken3,985,熟語,旅行に出かける,去旅行,go on a trip,They went on a trip to Mexico.,彼らはメキシコへ旅行に行きました。,他们去墨西哥旅行了。,
986,go out (for ~),eiken3,986,熟語,〜のために出かける,外出……,go out for lunch,Why don't we go out for lunch?,昼食を食べに出かけませんか。,我们出去吃午饭怎么样？,
987,go shopping,eiken3,987,熟語,買い物に行く,去购物,go shopping,I'm going shopping tomorrow afternoon.,明日の午後、買い物に行きます。,我明天下午去购物。,
988,go straight / walk straight,eiken3,988,熟語,まっすぐに行く,直走,go straight,Go straight and turn left at the corner.,まっすぐ行って角で左に曲がってください。,请直走，在拐角处左转。,
989,go to bed,eiken3,989,熟語,寝る,上床睡觉,go to bed,I have to go to bed early tonight.,今夜は早く寝なければなりません。,今晚我必须早点睡。,
990,go to see a movie,eiken3,990,熟語,映画を見に行く,去看电影,go to see a movie,"Last weekend, I went to see a movie with Betty.",先週末、ベティと映画を見に行きました。,上周末我和贝蒂去看了电影。,
991,go to the doctor,eiken3,991,熟語,医者に診てもらいに行く,去看医生,go to the doctor,I went to the doctor this morning.,今朝、医者に診てもらいに行きました。,今天早上我去看医生了。,
992,go to work,eiken3,992,熟語,仕事に行く,去上班,go to work,Dad goes to work by train.,父は電車で仕事に行きます。,爸爸坐火车去上班。,
993,graduate from ~,eiken3,993,熟語,〜を卒業する,从……毕业,graduate from university,She graduated from university last spring.,彼女は去年の春に大学を卒業しました。,她去年春天从大学毕业了。,
994,grow up,eiken3,994,熟語,大人になる；成長する,长大,grow up,I want to be a pilot when I grow up.,大人になったらパイロットになりたいです。,长大后我想当飞行员。,
995,have a chance to do,eiken3,995,熟語,〜する機会がある,有机会做……,have a chance to talk,We have a chance to talk to the writer.,私たちはその作家と話す機会があります。,我们有机会和那位作家交谈。,
996,have a cold,eiken3,996,熟語,風邪をひいている,感冒,have a cold,"I have a cold, so I will stay home.",風邪をひいているので家にいます。,我感冒了，所以会待在家。,
997,have a good time,eiken3,997,熟語,楽しく過ごす,玩得开心,have a good time,We had a good time at the park.,私たちは公園で楽しく過ごしました。,我们在公园玩得很开心。,
998,have been to ~,eiken3,998,熟語,〜に行ったことがある,去过……,have been to London,Have you ever been to London?,ロンドンに行ったことがありますか。,你去过伦敦吗？,
999,have enough (名詞) to do,eiken3,999,熟語,〜するのに十分な…がある,有足够的……做……,have enough eggs to make,We don't have enough eggs to make a cake.,ケーキを作るのに十分な卵がありません。,我们没有足够的鸡蛋做蛋糕。,
1000,have fun,eiken3,1000,熟語,楽しむ,玩得开心,have fun,The children had fun at the party.,子どもたちはパーティーで楽しみました。,孩子们在派对上玩得很开心。,
1001,have lunch,eiken3,1001,熟語,昼食をとる,吃午饭,have lunch,We had lunch at an Italian restaurant.,私たちはイタリア料理店で昼食をとりました。,我们在一家意大利餐厅吃了午饭。,
1002,have never been to ~,eiken3,1002,熟語,〜に行ったことがない,从没去过……,have never been to Paris,I've never been to Paris.,私はパリに行ったことがありません。,我从没去过巴黎。,
1003,have time to do,eiken3,1003,熟語,〜する時間がある,有时间做……,have time to visit,We didn't have time to visit the museum.,私たちは博物館を訪れる時間がありませんでした。,我们没有时间参观博物馆。,
1004,have to do,eiken3,1004,熟語,〜しなければならない,必须做……,have to finish,I have to finish this report by Monday.,月曜日までにこのレポートを終えなければなりません。,我必须在周一前完成这份报告。,must
1005,how long ~,eiken3,1005,熟語,どのくらいの長さで〜；どのくらいの間〜,多长；多久,how long,How long is the show?,そのショーはどのくらいの長さですか。,那场表演有多长？,
1006,how many times ~,eiken3,1006,熟語,何回〜,多少次,how many times,How many times have you been to Hawaii?,ハワイには何回行ったことがありますか。,你去过夏威夷几次？,
1007,how often ~,eiken3,1007,熟語,どのくらいの頻度で〜,多久一次,how often,How often do you play tennis?,どのくらいの頻度でテニスをしますか。,你多久打一次网球？,
1008,how to do,eiken3,1008,熟語,〜する方法；〜の仕方,如何做……,how to make,My grandmother taught me how to make apple pie.,祖母がアップルパイの作り方を教えてくれました。,奶奶教我怎么做苹果派。,
1009,hurry up,eiken3,1009,熟語,急ぐ,赶快,hurry up,"Hurry up, or we will be late.",急いで、さもないと遅れます。,快点，不然我们会迟到。,
1010,I'd like to do,eiken3,1010,熟語,〜したい,想要做……,I'd like to send,I'd like to send this package to Canada.,この荷物をカナダに送りたいです。,我想把这个包裹寄到加拿大。,
1011,in front of ~,eiken3,1011,熟語,〜の前で；〜の前に,在……前面,in front of the station,Let's meet in front of the station.,駅の前で会いましょう。,我们在车站前见吧。,
1012,in one's opinion,eiken3,1012,熟語,〜の意見では,在某人看来,in my opinion,"In my opinion, we should have another parking area.",私の意見では、もう一つ駐車場が必要です。,在我看来，我们需要另一个停车场。,
1013,in the middle of ~,eiken3,1013,熟語,〜の真ん中に；〜の最中に,在……中间,in the middle of the concert,He fell asleep in the middle of the concert.,彼はコンサートの最中に眠ってしまいました。,他在音乐会中途睡着了。,
1014,"in the morning [afternoon, evening]",eiken3,1014,熟語,午前中に；午後に；夕方に,在早上/下午/晚上,in the morning,I studied at the library in the morning.,午前中に図書館で勉強しました。,我上午在图书馆学习了。,
1015,in the world,eiken3,1015,熟語,世界で,在世界上,in the world,Mt. Everest is the highest mountain in the world.,エベレスト山は世界で一番高い山です。,珠穆朗玛峰是世界上最高的山。,
1016,invite A to B,eiken3,1016,熟語,AをBに招待する,邀请A去B,invite her to the party,Nancy invited us to her birthday party.,ナンシーは私たちを誕生日パーティーに招待しました。,南希邀请我们参加她的生日派对。,
1017,it is (形容詞) for A to do,eiken3,1017,熟語,Aが〜するのは…だ,对A来说做……是……,it is difficult for me to finish,It is difficult for me to finish the report today.,今日中にレポートを終えるのは私には難しいです。,今天完成报告对我来说很难。,
1018,it takes A (時間) to do,eiken3,1018,熟語,Aが〜するのに時間がかかる,A做……需要时间,it takes me an hour to read,It took me an hour to read the book.,その本を読むのに1時間かかりました。,我读那本书花了一个小时。,
1019,"last week [month, year]",eiken3,1019,熟語,先週；先月；昨年,上周；上月；去年,last week,I went skiing with my family last week.,先週、家族とスキーに行きました。,上周我和家人去滑雪了。,
1020,laugh at ~,eiken3,1020,熟語,〜を聞いて（笑って）笑う；〜を笑う,嘲笑；因……笑,laugh at the story,Everyone laughed at his funny story.,みんな彼のおもしろい話を聞いて笑いました。,大家听了他的有趣故事都笑了。,
1021,leave A at home,eiken3,1021,熟語,Aを家に忘れる,把A忘在家里,leave my wallet at home,I left my wallet at home this morning.,今朝、財布を家に忘れました。,今天早上我把钱包忘在家了。,
1022,leave a message,eiken3,1022,熟語,伝言を残す,留言,leave a message,Please leave a message after the sound.,音の後で伝言を残してください。,请在提示音后留言。,
1023,look around (~),eiken3,1023,熟語,辺りを見回す,环顾四周,look around the town,I didn't have enough time to look around the town.,町を見て回る時間が十分にありませんでした。,我没有足够时间逛这个城镇。,
1024,look for ~,eiken3,1024,熟語,〜を探す,寻找……,look for the dog,We went out to look for the lost dog.,私たちは迷子の犬を探しに出かけました。,我们出去找走失的狗。,search for
1025,look forward to doing [A],eiken3,1025,熟語,〜するのを楽しみに待つ,期待做……,look forward to seeing you,I'm looking forward to seeing you again.,またあなたに会えるのを楽しみにしています。,我期待再次见到你。,
1026,look well,eiken3,1026,熟語,元気そうに見える,看起来气色好,look well,You look well today.,今日は元気そうですね。,你今天看起来很好。,
1027,lots of ~,eiken3,1027,熟語,多くの〜,很多……,lots of food,There will be lots of food at the party.,パーティーにはたくさんの食べ物があります。,派对上会有很多食物。,a lot of
1028,make a speech,eiken3,1028,熟語,スピーチする,发表演讲,make a speech,He made a speech at the meeting.,彼は会議でスピーチをしました。,他在会议上发表了演讲。,
1029,more than ~,eiken3,1029,熟語,〜より多い,超过……,more than one hundred people,More than one hundred people came to the event.,100人以上がそのイベントに来ました。,一百多人来参加了活动。,
1030,most of ~,eiken3,1030,熟語,〜のほとんど,大部分……,most of the students,Most of the students walk to school.,ほとんどの生徒は歩いて学校へ行きます。,大多数学生步行上学。,
1031,move to ~,eiken3,1031,熟語,〜に引っ越す,搬到……,move to another floor,We moved to another floor last month.,先月、私たちは別の階に移りました。,上个月我们搬到了另一层。,
1032,near here,eiken3,1032,熟語,この近くに,在这附近,near here,Are there any good restaurants near here?,この近くによいレストランはありますか。,这附近有好餐厅吗？,
1033,need to do,eiken3,1033,熟語,〜する必要がある,需要做……,need to find,We need to find someone who can speak French.,フランス語を話せる人を見つける必要があります。,我们需要找一个会说法语的人。,
1034,not ~ at all,eiken3,1034,熟語,まったく〜ない,一点也不……,not understand at all,I didn't understand what Mike said at all.,マイクの言ったことがまったく分かりませんでした。,我完全不明白迈克说的话。,
1035,not ~ yet,eiken3,1035,熟語,まだ〜ない,还没……,not finish yet,I haven't finished cleaning my room yet.,まだ部屋の掃除を終えていません。,我还没打扫完房间。,
1036,not have to do,eiken3,1036,熟語,〜しなくてもよい,不必做……,not have to eat,You don't have to eat everything.,全部食べなくてもいいですよ。,你不必全部吃完。,
1037,not only A but also B,eiken3,1037,熟語,AだけでなくBも,不仅A而且B,not only sing but also dance,She can not only sing but also dance well.,彼女は歌えるだけでなく、上手に踊ることもできます。,她不仅会唱歌，还跳得很好。,
1038,on business,eiken3,1038,熟語,仕事で,因公；出差,on business,Linda's father went to Los Angeles on business.,リンダの父は仕事でロサンゼルスへ行きました。,琳达的父亲因公去了洛杉矶。,
1039,on one's [the] right,eiken3,1039,熟語,右手に,在右边,on your right,"Turn left at the flower shop, and you'll see it on your right.",花屋で左に曲がると、右手に見えます。,在花店左转，你会在右边看到它。,
1040,on one's way home,eiken3,1040,熟語,家に帰る途中で,在回家的路上,on my way home,I bought bread on my way home.,家に帰る途中でパンを買いました。,我在回家的路上买了面包。,
1041,on one's [the] way to ~,eiken3,1041,熟語,〜へ行く途中で,在去……的路上,on my way to work,I met Jason on my way to work.,仕事に行く途中でジェイソンに会いました。,我在上班路上遇到了杰森。,
1042,on weekends,eiken3,1042,熟語,週末に,在周末,on weekends,Jason often buys coffee on weekends.,ジェイソンは週末によくコーヒーを買います。,杰森周末经常买咖啡。,
1043,one more (名詞),eiken3,1043,熟語,もう一人/一つの〜,再一个……,one more volunteer,I think we need one more volunteer.,もう一人ボランティアが必要だと思います。,我想我们还需要一名志愿者。,
1044,one of ~,eiken3,1044,熟語,〜の1人/1つ,……之一,one of the students,One of them is a college student.,そのうちの一人は大学生です。,其中一个人是大学生。,
1045,one of the ~,eiken3,1045,熟語,最も〜なものの1つ,最……之一,one of the oldest cities,Rome is one of the oldest cities in Europe.,ローマはヨーロッパで最も古い都市の一つです。,罗马是欧洲最古老的城市之一。,
1046,over there,eiken3,1046,熟語,向こうに,在那边,over there,Who is the girl playing tennis over there?,向こうでテニスをしている女の子はだれですか。,那边那个打网球的女孩是谁？,
1047,pass the [an] exam,eiken3,1047,熟語,試験に合格する,通过考试,pass the exam,"Study hard, and you'll pass the exam.",一生懸命勉強すれば試験に合格するでしょう。,努力学习，你会通过考试的。,
1048,pick up ~,eiken3,1048,熟語,〜を車で迎えに来る；拾う,开车接；捡起,pick me up,Could you pick me up at the station?,駅まで迎えに来てくれませんか。,你能来车站接我吗？,
1049,put on ~,eiken3,1049,熟語,〜を着る,穿上……,put on a coat,"It was cold, so I put on a coat.",寒かったのでコートを着ました。,因为冷，我穿上了外套。,
1050,receive a prize,eiken3,1050,熟語,賞を受ける,获奖,receive a prize,She received the first prize in the contest.,彼女はコンテストで1等賞を取りました。,她在比赛中获得了一等奖。,
1051,right now,eiken3,1051,熟語,ちょうど今；すぐに,现在；马上,right now,I'm afraid she can't get to the phone right now.,申し訳ありませんが、彼女は今電話に出られません。,不好意思，她现在不能接电话。,
1052,run away,eiken3,1052,熟語,逃げ去る；走り去る,逃走,run away,The cat ran away from the room.,猫は部屋から逃げ出しました。,猫从房间里跑掉了。,
1053,save money,eiken3,1053,熟語,貯金する,存钱,save money,Jane is working after school to save money.,ジェーンはお金を貯めるために放課後働いています。,简放学后工作是为了存钱。,
1054,say hello to ~,eiken3,1054,熟語,〜によろしく伝える,向……问好,say hello to your grandmother,Please say hello to your grandmother for me.,おばあさんによろしく伝えてください。,请代我向你奶奶问好。,
1055,shake hands with ~,eiken3,1055,熟語,〜と握手する,和……握手,shake hands with the coach,You can shake hands with the members of the band.,バンドのメンバーと握手できます。,你可以和乐队成员握手。,
1056,shout at ~,eiken3,1056,熟語,〜に叫ぶ,对……大喊,shout at his son,"He shouted at his son, “Watch out!”",彼は息子に「危ない」と叫びました。,他对儿子喊：“小心！”,
1057,show A how to do,eiken3,1057,熟語,Aに〜のやり方を教える,教A如何做……,show me how to use,Can you show me how to use this machine?,この機械の使い方を教えてくれますか。,你能教我怎么用这台机器吗？,
1058,so ~ that ...,eiken3,1058,熟語,とても〜なので…,如此……以至于……,so tired that,We were so tired that we went to bed early.,私たちはとても疲れていたので早く寝ました。,我们太累了，所以早早睡了。,
1059,something to do,eiken3,1059,熟語,何か〜するもの,要做的事；某物去做,something to read,I want to get something to read on the train.,電車の中で読むものを買いたいです。,我想买点在火车上读的东西。,
1060,something (形容詞),eiken3,1060,熟語,何か〜なもの,某个……的东西,something special,Let's make something special for dinner.,夕食に何か特別なものを作りましょう。,我们晚饭做点特别的东西吧。,
1061,spend A on ~,eiken3,1061,熟語,A(時間・お金)を～に費やす,把A花在~上,spend A on ~,"I use ""spend A on ~"" in a simple sentence.",私は「spend A on ~」を使った簡単な文を勉強しました。,我学习了包含“spend A on ~”的简单句子。,
1062,stay home,eiken3,1062,熟語,家にいる,待在家,stay home,"I use ""stay home"" in a simple sentence.",私は「stay home」を使った簡単な文を勉強しました。,我学习了包含“stay home”的简单句子。,
1063,stay up late,eiken3,1063,熟語,夜更かしする,熬夜,stay up late,"I use ""stay up late"" in a simple sentence.",私は「stay up late」を使った簡単な文を勉強しました。,我学习了包含“stay up late”的简单句子。,
1064,such a ~,eiken3,1064,熟語,そのような～,那样的~,such a ~,"I use ""such a ~"" in a simple sentence.",私は「such a ~」を使った簡単な文を勉強しました。,我学习了包含“such a ~”的简单句子。,
1065,take A to B,eiken3,1065,熟語,AをBに連れて行く,带A去B,take A to B,"I use ""take A to B"" in a simple sentence.",私は「take A to B」を使った簡単な文を勉強しました。,我学习了包含“take A to B”的简单句子。,
1066,take a picture,eiken3,1066,熟語,写真を撮る,拍照,take a picture,"I use ""take a picture"" in a simple sentence.",私は「take a picture」を使った簡単な文を勉強しました。,我学习了包含“take a picture”的简单句子。,
1067,take care of ~,eiken3,1067,熟語,～の世話をする,照顾,take care of ~,"I use ""take care of ~"" in a simple sentence.",私は「take care of ~」を使った簡単な文を勉強しました。,我学习了包含“take care of ~”的简单句子。,
