ID,English,词性,日文释义,中文翻译,英文例句,例句日文,例句中文,熟语/搭配,重要度,复习次数,错误次数,出现频率,反义词,反义词日语翻译,近义词,近义词日语翻译
16,guide,动词,案内する,引导；带领,He guided us around Tokyo Station.,彼は私たちを東京駅周辺に案内してくれました。,他带我们参观了东京站。,guide around,A,0,0,A,lead wrong,誤って導く,lead; show the way,導く；案内する
17,hold,动词,開催する；持つ,举办；拿着,Our school will hold a sports festival next month.,私たちの学校は来月、運動会を開催します。,我们学校下个月将举办运动会。,hold a meeting / hold a party,A,0,0,A,release; let go,解放する；手放す,have; keep,持つ；保つ
18,report,动词,報道する；報告する,报道；报告,She reported the accident to the police.,彼女はその事故を警察に報告しました。,她向警察报告了事故。,report to,A,0,0,A,hide,隠す,tell; give news,報告する；伝える
19,return,动词,帰る；戻る,返回；归还,He returned to Japan last week.,彼は先週日本に戻りました。,他上周回到了日本。,return to,A,0,0,A,leave; keep,去る；保つ,come back; give back,戻る；返す
20,seem,动词,〜のようだ,看起来；似乎,She seems very happy today.,彼女は今日とても幸せそうに見えます。,她今天看起来很开心。,seem to be,A,0,0,A,—,—,appear; look,〜のように見える；見える
21,train,动词,訓練する,训练,They train dogs to help people.,彼らは人々を助けるために犬を訓練しています。,他们训练狗帮助人们。,train dogs,A,0,0,A,not care for,気にかけない,practice; teach,練習する；教える
22,wait,动词,待つ,等待,We waited for the bus in the rain.,私たちは雨の中でバスを待ちました。,我们在雨中等公交车。,wait for,A,0,0,A,go ahead,先に進む,stay; hold on,待つ；そのままでいる
23,invite,动词,招待する,邀请,I invited my friend to my birthday party.,私は友だちを誕生日パーティーに招待しました。,我邀请朋友来我的生日派对。,invite A to B,A,0,0,A,exclude,除外する,ask; ask over,招待する；誘う
24,sound,动词,〜のように聞こえる,听起来,Your idea sounds interesting.,あなたの考えはおもしろそうです。,你的想法听起来很有趣。,sound interesting,A,0,0,A,—,—,seem; appear,〜に聞こえる；〜に思える
25,taste,动词,味がする,尝起来,This cake tastes sweet.,このケーキは甘い味がします。,这个蛋糕尝起来很甜。,taste sweet,A,0,0,A,—,—,try; sample,味わう；試す
26,worry,动词,心配する,担心,Don't worry about the test.,テストのことを心配しないでください。,不要担心考试。,worry about,A,0,0,A,relax,くつろぐ,be anxious; care,心配する；気にかける
27,join,动词,参加する,加入；参加,Why don't you join our club?,私たちのクラブに入りませんか。,你为什么不加入我们的社团？,join a club,A,0,0,A,leave; separate,去る；分ける,become a member; take part in,加わる；参加する
28,lose,动词,失う；負ける,失去；输,Our team lost the game yesterday.,私たちのチームは昨日試合に負けました。,我们队昨天输了比赛。,lose a game,A,0,0,A,win; find,勝つ；見つける,misplace; fail to win,なくす；負ける
29,remember,动词,覚えている,记得,I remember meeting her before.,私は以前彼女に会ったことを覚えています。,我记得以前见过她。,remember doing,A,0,0,A,forget,忘れる,recall; keep in mind,思い出す；覚えておく
30,climb,动词,登る,攀登,They climbed the mountain together.,彼らは一緒にその山に登りました。,他们一起爬山。,climb a mountain,A,0,0,A,descend,下がる,go up; rise,登る；上がる
31,exchange,动词,交換する,交换,We exchanged gifts at Christmas.,私たちはクリスマスにプレゼントを交換しました。,我们在圣诞节交换了礼物。,exchange A for B,A,0,0,A,keep,保つ,trade; swap,交換する；取り替える
32,offer,动词,申し出る,提供；主动提出,He offered me some help.,彼は私に助けを申し出てくれました。,他主动提出帮助我。,offer help,A,0,0,A,refuse; take back,断る；取り消す,give; provide,提供する；申し出る
33,perform,动词,上演する；演じる,表演,The students performed a play on stage.,生徒たちは舞台で劇を演じました。,学生们在舞台上表演了一出戏。,perform a play,A,0,0,A,stop; fail,止まる；失敗する,do; act,行う；演じる
34,pick,动词,摘む；選ぶ,摘；选择,She picked some flowers in the park.,彼女は公園で花を摘みました。,她在公园摘了一些花。,pick flowers,A,0,0,A,drop; reject,落とす；拒否する,choose; select,選ぶ；選択する
35,repair,动词,修理する,修理,My father repaired the broken chair.,父は壊れた椅子を修理しました。,我爸爸修好了坏掉的椅子。,repair a chair,A,0,0,A,break; damage,壊す；傷つける,fix; mend,修理する；直す
36,interview,动词,インタビューする,采访；面试,The reporter interviewed the actor.,記者はその俳優にインタビューしました。,记者采访了那位演员。,interview a person,A,0,0,A,—,—,ask questions; talk to,面接する；質問する
37,travel,动词,旅行する,旅行,I want to travel around Europe someday.,私はいつかヨーロッパを旅行したいです。,我想有一天去欧洲旅行。,travel around,A,0,0,A,stay,残る,go; make a trip,旅行する；旅をする
38,expect,动词,予想する；期待する,期待；预料,We expect it to rain tomorrow.,私たちは明日雨が降ると思っています。,我们预计明天会下雨。,expect to do,A,0,0,A,doubt,疑う,think; look forward to,予想する；楽しみにする
39,miss,动词,逃す；恋しく思う,错过；想念,I missed the last train last night.,私は昨夜終電に乗り遅れました。,我昨晚错过了末班车。,miss the train,A,0,0,A,catch; attend,捕まえる；出席する,fail to catch; feel lonely for,乗り遅れる；恋しく思う
40,prepare,动词,準備する,准备,She prepared dinner for her family.,彼女は家族のために夕食を用意しました。,她为家人准备了晚饭。,prepare for,A,0,0,A,not care for,気にかけない,get ready; arrange,準備する；用意する
41,win,动词,勝ち取る,赢得,Our school won the soccer match.,私たちの学校はサッカーの試合に勝ちました。,我们学校赢得了足球比赛。,win a match,A,0,0,A,lose,失う,succeed; beat,勝つ；打ち勝つ
42,carry,动词,運ぶ,搬运；携带,He carried the heavy box upstairs.,彼は重い箱を二階へ運びました。,他把重箱子搬上楼。,carry a box,A,0,0,A,drop,落とす,take; bring,運ぶ；持って行く
43,build,动词,建てる,建造,They built a new bridge near the station.,彼らは駅の近くに新しい橋を建てました。,他们在车站附近建了一座新桥。,build a bridge,A,0,0,A,destroy,破壊する,make; construct,建てる；作る
44,care,动词,気にかける,在意；关心,She cares about her friends very much.,彼女は友だちのことをとても大切に思っています。,她非常关心朋友。,care about,A,0,0,A,ignore; not care for,無視する；気にかけない,mind; be concerned,気にする；心配する
45,cost,动词,費用がかかる,花费,"This bike costs 30,000 yen.",この自転車は3万円します。,这辆自行车要3万日元。,cost money,A,0,0,A,save,救う；節約する,be priced; require money,値段がする；費用がかかる
46,create,动词,創造する,创造,The artist created a beautiful painting.,その芸術家は美しい絵を創作しました。,那位艺术家创作了一幅美丽的画。,create art,A,0,0,A,destroy,破壊する,make; produce,作る；生み出す
47,design,动词,デザインする,设计,She designed a new website for the company.,彼女は会社のために新しいウェブサイトをデザインしました。,她为公司设计了新网站。,design a website,A,0,0,A,—,—,plan; create,設計する；デザインする
48,increase,动词,増加する,增加,The number of tourists increased this year.,今年、観光客の数が増えました。,今年游客数量增加了。,increase dramatically,A,0,0,A,decrease; reduce,減少する；減らす,grow; rise,増える；上がる
49,introduce,动词,紹介する,介绍,Let me introduce my teacher to you.,あなたに私の先生を紹介させてください。,让我把老师介绍给你。,introduce A to B,A,0,0,A,remove; take back,取り除く；取り消す,present; show,紹介する；導入する
50,prefer,动词,〜の方を好む,更喜欢,I prefer tea to coffee.,私はコーヒーより紅茶のほうが好きです。,比起咖啡，我更喜欢茶。,prefer A to B,A,0,0,A,dislike,嫌う,like better; choose,より好む；選ぶ
51,relax,动词,くつろぐ,放松,I like to relax after dinner.,私は夕食後にリラックスするのが好きです。,我喜欢晚饭后放松。,relax after work,A,0,0,A,worry; tense,心配する；緊張した,rest; take it easy,休む；くつろぐ
52,run,动词,走る；経営する,跑；经营,Her family runs a small restaurant.,彼女の家族は小さなレストランを経営しています。,她家经营一家小餐馆。,run a business,A,0,0,A,walk; stop,歩く；止まる,race; manage,走る；経営する
53,save,动词,節約する；救う,节省；拯救,We should save water and electricity.,私たちは水と電気を節約するべきです。,我们应该节约水电。,save energy,A,0,0,A,waste; spend,無駄にする；使う,keep; rescue,保存する；救う
54,add,动词,加える,添加；增加,Please add your name to the list.,リストにあなたの名前を加えてください。,请把你的名字加到名单里。,add A to B,A,0,0,A,subtract; remove,引く；取り除く,put in; increase,加える；増やす
55,agree,动词,賛成する；同意する,同意；赞成,I agree with your idea.,私はあなたの考えに賛成です。,我同意你的想法。,agree with,A,0,0,A,disagree,反対する,say yes; accept,同意する；受け入れる
56,appear,动词,現れる；〜のように見える,出现；显得,The sun appeared from behind the clouds.,太陽が雲の後ろから現れました。,太阳从云后出现了。,appear on,A,0,0,A,disappear,消える,show up; seem,現れる；〜のように見える
57,borrow,动词,借りる,借入；借用,Can I borrow your dictionary?,あなたの辞書を借りてもいいですか。,我可以借你的词典吗？,borrow A from B,A,0,0,A,lend,貸す,use for a time; get from someone,借りる；一時的に使う
58,die,动词,死ぬ,死亡,Many plants died because of the heat.,多くの植物が暑さのために枯れました。,许多植物因为炎热而枯死了。,die of/from,A,0,0,A,live; be born,生きる；生まれる,pass away,死ぬ
59,improve,动词,改良する；良くなる,改善；提高,She improved her English by reading books.,彼女は本を読むことで英語を上達させました。,她通过读书提高了英语水平。,improve quality,A,0,0,A,worsen,悪化させる,get better; make better,良くなる；改善する
60,mean,动词,意味する,意思是；意味着,What does this word mean?,この単語はどういう意味ですか。,这个单词是什么意思？,What does it mean?,A,0,0,A,—,—,signify; intend,意味する；意図する
61,mind,动词,気にする；嫌がる,介意；在意,I don't mind waiting here.,私はここで待つことを気にしません。,我不介意在这里等。,mind doing,A,0,0,A,ignore,無視する,care; object,気にする；嫌がる
62,plant,动词,植える；種をまく,种植；播种,We planted flowers in the garden.,私たちは庭に花を植えました。,我们在花园里种了花。,plant flowers,A,0,0,A,remove,取り除く,put in the ground; grow,植える；育てる
63,receive,动词,受け取る,收到,I received a letter from my friend.,私は友だちから手紙を受け取りました。,我收到了朋友的一封信。,receive A from B,A,0,0,A,send; give,送る；与える,get; accept,受け取る；受け入れる
64,rent,动词,借りる；貸す,租借；出租,They rented a house near the station.,彼らは駅の近くに家を借りました。,他们在车站附近租了一栋房子。,rent a house,A,0,0,A,buy; own,買う；所有する,borrow for money; let for money,借りる；貸す
65,reply,动词,返事をする；答える,回复；回答,Please reply to my email today.,今日、私のメールに返信してください。,请今天回复我的邮件。,reply to,A,0,0,A,ignore,無視する,answer; respond,答える；返事する
66,allow,动词,許す,允许,My parents allow me to use the computer.,両親は私がコンピューターを使うことを許してくれます。,父母允许我使用电脑。,allow A to do,A,0,0,A,not allow; prevent,許さない；妨げる,let; permit,許す；許可する
67,bear,动词,我慢する,忍受,I can't bear this noise anymore.,私はもうこの騒音に耐えられません。,我再也忍受不了这个噪音了。,bear pain,A,0,0,A,give up; refuse,あきらめる；断る,stand; endure,耐える；我慢する
68,cause,动词,引き起こす,引起；导致,Heavy rain caused a traffic jam.,大雨が交通渋滞を引き起こしました。,大雨导致了交通堵塞。,cause trouble,A,0,0,A,prevent,妨げる,make; lead to,引き起こす；もたらす
69,continue,动词,続ける,继续,He continued to study after dinner.,彼は夕食後も勉強を続けました。,他晚饭后继续学习。,continue to do / doing,A,0,0,A,stop; quit,止まる；やめる,keep; go on,続ける；継続する
70,dress,动词,服を着る；服を着せる,穿衣；给……穿衣,She dressed quickly and left home.,彼女はすばやく服を着て家を出ました。,她迅速穿好衣服离开了家。,dress well,A,0,0,A,undress,服を脱ぐ,wear; put on,着る；身につける
71,follow,动词,ついていく；従う,跟随；遵循,Please follow the teacher's instructions.,先生の指示に従ってください。,请遵循老师的指示。,follow me,A,0,0,A,lead; precede,導く；先行する,come after; obey,ついて行く；従う
72,graduate,动词,卒業する,毕业,My brother graduated from college last year.,私の兄は去年大学を卒業しました。,我哥哥去年大学毕业了。,graduate from,A,0,0,A,enroll,入学する,finish school,卒業する
73,guess,动词,推測する,猜测；推测,Can you guess the answer?,答えを推測できますか。,你能猜出答案吗？,guess his age,A,0,0,A,know,知っている,think; suppose,推測する；思う
74,marry,动词,結婚する,结婚,She married a doctor last spring.,彼女は去年の春、医者と結婚しました。,她去年春天和一名医生结婚。,marry someone,A,0,0,A,divorce,離婚する,wed; get married,結婚する
75,protect,动词,保護する,保护,We must protect children from danger.,私たちは子どもたちを危険から守らなければなりません。,我们必须保护孩子免受危险。,protect A from B,A,0,0,A,harm; attack,害を与える；攻撃する,keep safe; guard,守る；保護する
76,search,动词,捜す,寻找；搜索,They searched for the lost dog.,彼らは迷子の犬を探しました。,他们寻找那只走失的狗。,search for,A,0,0,A,ignore,無視する,look for; seek,探す；求める
77,set,动词,調整する；置く,设置；放置,Please set the alarm for seven.,アラームを7時にセットしてください。,请把闹钟设到7点。,set an alarm,A,0,0,A,unset; remove,取り消す；取り除く,put; place,置く；設定する
78,smell,动词,においがする,闻起来,This soup smells good.,このスープはよいにおいがします。,这汤闻起来很好。,smell good,A,0,0,A,—,—,notice by nose,においを感じる
79,turn,动词,曲がる；変わる,转弯；变成,Turn right at the next corner.,次の角を右に曲がってください。,在下一个拐角右转。,turn right/left,A,0,0,A,straighten,まっすぐにする,change; become,変わる；〜になる
80,wish,动词,願う,希望；祝愿,I wish you good luck.,あなたの幸運を祈っています。,祝你好运。,wish for,A,0,0,A,—,—,hope; want,願う；望む
81,arrive,动词,到着する,到达,We arrived at the airport on time.,私たちは時間通りに空港に到着しました。,我们准时到达了机场。,arrive at/in,A,0,0,A,depart; leave,出発する；去る,get to; reach,到着する；着く
82,cancel,动词,中止する；取り消す,取消,They canceled the picnic because of rain.,彼らは雨のためにピクニックを中止しました。,因为下雨他们取消了野餐。,cancel a plan,A,0,0,A,continue; schedule,続ける；予定する,call off; stop,取り消す；中止する
83,copy,动词,写しを取る；まねる,复制；模仿,Please copy this sentence into your notebook.,この文をノートに写してください。,请把这个句子抄到笔记本里。,copy data,A,0,0,A,start,始める,make the same; imitate,写す；まねる
84,cover,动词,覆う,覆盖,The mountain was covered with snow.,その山は雪で覆われていました。,那座山被雪覆盖着。,be covered with,A,0,0,A,show; reveal,見せる；明らかにする,put over; include,覆う；含む
85,enter,动词,入る；参加する,进入；参加,He entered the classroom quietly.,彼は静かに教室に入りました。,他安静地走进教室。,enter a room,A,0,0,A,exit; leave,出る；去る,go into; join,入る；参加する
86,happen,动词,起こる,发生,What happened after school?,放課後に何が起こりましたか。,放学后发生了什么？,What happened?,A,0,0,A,stop,止まる,take place; occur,起こる；発生する
87,recommend,动词,推薦する；勧める,推荐,I recommend this book to beginners.,私はこの本を初心者におすすめします。,我把这本书推荐给初学者。,recommend A to B,A,0,0,A,oppose,反対する,advise; suggest,勧める；提案する
88,steal,动词,盗む,偷,Someone stole my bike yesterday.,昨日、誰かが私の自転車を盗みました。,昨天有人偷了我的自行车。,steal A from B,A,0,0,A,return; give back,戻る；返す,take; rob,盗む；奪う
89,throw,动词,投げる,投掷；扔,He threw the ball to his friend.,彼は友だちにボールを投げました。,他把球扔给了朋友。,throw a ball,A,0,0,A,catch,捕まえる,toss; send through the air,投げる；放る
90,wonder,动词,〜かなと思う,想知道；感到疑惑,I wonder where he went.,彼がどこへ行ったのか気になります。,我想知道他去了哪里。,wonder where/why,A,0,0,A,know,知っている,want to know; think,知りたいと思う；考える
91,avoid,动词,避ける,避免,You should avoid eating too much sugar.,砂糖を取りすぎるのは避けるべきです。,你应该避免吃太多糖。,avoid doing,A,0,0,A,face; approach,向き合う；近づく,keep away from; escape,避ける；逃れる
92,bake,动词,焼く,烘烤,My sister baked cookies for us.,姉は私たちのためにクッキーを焼いてくれました。,姐姐给我们烤了饼干。,bake cookies,A,0,0,A,freeze,凍る,cook in an oven,焼く
93,contain,动词,含む；収容できる,包含；含有,This juice contains a lot of vitamin C.,このジュースにはビタミンCがたくさん含まれています。,这种果汁含有很多维生素C。,contain vitamin C,A,0,0,A,exclude,除外する,include; hold,含む；入っている
94,damage,动词,損傷を与える,损坏,The storm damaged many houses.,嵐が多くの家に被害を与えました。,暴风雨损坏了许多房子。,damage a car,A,0,0,A,repair,修理する,harm; hurt,傷つける；損害を与える
95,fail,动词,失敗する；不合格になる,失败；不及格,He failed the driving test.,彼は運転免許試験に落ちました。,他驾照考试没通过。,fail an exam,A,0,0,A,succeed; pass,成功する；合格する,not succeed; lose,失敗する；負ける
96,feed,动词,食べ物を与える,喂食,Please feed the cat before dinner.,夕食の前に猫にえさをあげてください。,请在晚饭前喂猫。,feed a pet,A,0,0,A,starve,飢える,give food to,食べ物を与える
97,fit,动词,合う；適している,合适；适合,This jacket fits me well.,このジャケットは私にぴったり合います。,这件夹克很适合我。,fit well,A,0,0,A,not fit,合わない,suit; be the right size,合う；適する
98,fix,动词,修理する；固定する,修理；固定,Can you fix my bicycle?,私の自転車を修理できますか。,你能修我的自行车吗？,fix a camera,A,0,0,A,break,壊す,repair; mend,修理する；直す
99,hurt,动词,傷つける；痛む,受伤；疼痛,My leg hurts after running.,走った後、足が痛みます。,跑步后我的腿疼。,hurt one's arm,A,0,0,A,heal; comfort,治す；慰める,injure; pain,傷つける；痛む
100,lead,动词,導く；案内する,带领；引导,The guide led us to the museum.,ガイドは私たちを博物館へ案内しました。,导游带我们去了博物馆。,lead A to B,A,0,0,A,follow,従う,guide; take,導く；連れて行く
101,raise,动词,育てる；上げる,养育；提高；筹集,They raised money for the school trip.,彼らは修学旅行のためにお金を集めました。,他们为学校旅行筹款。,raise money,A,0,0,A,lower,下げる,lift; bring up,上げる；育てる
102,solve,动词,解決する,解决,We solved the problem together.,私たちは一緒にその問題を解決しました。,我们一起解决了问题。,solve a problem,A,0,0,A,make hard,難しくする,answer; work out,解く；解決する
103,wake,动词,目を覚ます；起こす,醒来；叫醒,I wake up at six every morning.,私は毎朝6時に起きます。,我每天早上6点醒来。,wake up,A,0,0,A,sleep,眠る,get up; stop sleeping,目を覚ます；起こす
104,waste,动词,浪費する,浪费,Don't waste your time.,時間を無駄にしないでください。,不要浪费你的时间。,waste time,A,0,0,A,save,救う；節約する,use badly,無駄にする
105,advise,动词,忠告する,建议；劝告,My teacher advised me to read more books.,先生は私にもっと本を読むように助言しました。,老师建议我多读书。,advise A to do,A,0,0,A,lead wrong,誤って導く,suggest; recommend,助言する；勧める
106,arrange,动词,取り決める；準備する,安排；准备,We arranged a meeting for Friday.,私たちは会議を金曜日に設定しました。,我们把会议安排在周五。,arrange a meeting,A,0,0,A,make messy; disorder,散らかす；乱す,plan; prepare,手配する；準備する
107,belong,动词,所属する；属する,属于；所属,This bag belongs to my sister.,このバッグは私の妹のものです。,这个包是我妹妹的。,belong to,A,0,0,A,exclude,除外する,be part of; be owned by,所属する；〜のものである
108,celebrate,动词,祝う,庆祝,We celebrated my father's birthday.,私たちは父の誕生日を祝いました。,我们庆祝了爸爸的生日。,celebrate a birthday,A,0,0,A,feel sad,悲しむ,have a party; honor,祝う；祝賀する
109,cheer,动词,声援する；励ます,欢呼；鼓励,Everyone cheered for the team.,みんながそのチームを応援しました。,大家为球队加油。,cheer for,A,0,0,A,discourage,やる気をなくさせる,encourage; shout for,励ます；応援する
110,count,动词,数える,数数；计算,The child counted the stars in the sky.,その子どもは空の星を数えました。,孩子数着天上的星星。,count the change,A,0,0,A,ignore,無視する,number; calculate,数える；計算する
111,delay,动词,遅らせる；延期する,延迟；推迟,The rain delayed the baseball game.,雨で野球の試合が遅れました。,下雨使棒球比赛延迟了。,be delayed,A,0,0,A,hasten; advance,急がせる；進める,put off; make late,遅らせる；延期する
112,include,动词,含む,包含,The price includes breakfast.,その料金には朝食が含まれています。,价格包含早餐。,include breakfast,A,0,0,A,exclude,除外する,contain; have,含む；持つ
113,lend,动词,貸す,借出；借给,Can you lend me your pen?,あなたのペンを貸してくれますか。,你能把笔借给我吗？,lend A B,A,0,0,A,borrow,借りる,loan; let use,貸す；使わせる
114,pack,动词,詰め込む；荷造りする,打包；装进,I packed my clothes into a small bag.,私は服を小さなバッグに詰めました。,我把衣服装进小包里。,pack A into B,A,0,0,A,open,開く,put into a bag; wrap,詰める；包む
115,produce,动词,生産する；引き起こす,生产；产生,This factory produces cars.,この工場は車を生産しています。,这家工厂生产汽车。,produce goods,A,0,0,A,consume,消費する,make; create,生産する；作る
116,reach,动词,到着する,到达,We reached the station before noon.,私たちは正午前に駅に着きました。,我们中午前到达了车站。,reach a destination,A,0,0,A,miss,見逃す,arrive at; get to,到着する；届く
117,recover,动词,回復する；取り戻す,恢复；取回,He recovered from a cold quickly.,彼は風邪からすぐに回復しました。,他很快从感冒中恢复了。,recover from,A,0,0,A,worsen; decline,悪化させる；減少する,get better; get back,回復する；取り戻す
118,remain,动词,残る；〜のままである,留下；保持,She remained calm during the test.,彼女はテスト中、落ち着いていました。,考试中她保持冷静。,remain silent,A,0,0,A,leave; change,去る；変える,stay; continue to be,残る；〜のままでいる
119,reserve,动词,予約する；取っておく,预约；保留,I reserved a table for two.,私は2人分の席を予約しました。,我预约了两个人的座位。,reserve a room,A,0,0,A,release,解放する,book; keep,予約する；取っておく
120,serve,动词,出す；仕える,提供；服务,They serve lunch at noon.,彼らは正午に昼食を出します。,他们中午供应午餐。,serve food,A,0,0,A,not care for,気にかけない,provide; work for,出す；仕える
121,spread,动词,広がる；広げる,传播；扩散；展开,The news spread quickly through the town.,そのニュースは町中にすぐ広まりました。,消息很快传遍了小镇。,spread quickly,A,0,0,A,gather; concentrate,集める；集中する,open; become known,広がる；広める
122,stand,动词,我慢する；立っている,忍受；站立,I can't stand loud music.,私は大きな音の音楽に耐えられません。,我受不了很吵的音乐。,stand noise,A,0,0,A,sit; fall,座る；落ちる,stand; bear,立つ；我慢する
123,trade,动词,交換する；貿易する,交换；贸易,He traded cards with his friend.,彼は友だちとカードを交換しました。,他和朋友交换了卡片。,trade A with B,A,0,0,A,keep,保つ,exchange; buy and sell,交換する；取引する
124,transport,动词,輸送する,运输,Ships transport goods around the world.,船は世界中に商品を運びます。,船只把货物运往世界各地。,transport goods,A,0,0,A,keep,保つ,carry; move,運ぶ；輸送する
125,upset,动词,動揺する；動揺させる,使不安；使心烦,The bad news upset her.,その悪い知らせは彼女を悲しませました。,这个坏消息让她很难过。,be upset about,A,0,0,A,calm,落ち着いた,worry; make sad,心配させる；悲しませる
126,idea,名词,考え、思いつき、アイデア,想法；主意,I have a good idea for our project.,私は私たちのプロジェクトに良いアイデアがあります。,我对我们的项目有一个好主意。,come up with a good idea,A,0,0,A,,,,
127,area,名词,地域、区域、領域,地区；区域；领域,This area is famous for its old temples.,この地域は古い寺で有名です。,这个地区以古老寺庙闻名。,a business area,A,0,0,A,,,,
128,apartment,名词,アパート,公寓,They moved into a new apartment last month.,彼らは先月新しいアパートに引っ越しました。,他们上个月搬进了新公寓。,move into a new apartment,A,0,0,A,,,,
129,lighthouse,名词,灯台,灯塔,We saw a lighthouse by the sea.,私たちは海のそばに灯台を見ました。,我们在海边看到了灯塔。,a lighthouse keeper,A,0,0,A,,,,
130,photograph,名词,写真,照片,This photograph reminds me of my childhood.,この写真は私に子どものころを思い出させます。,这张照片让我想起童年。,a black-and-white photograph,A,0,0,A,,,,
131,reason,名词,理由、理性,理由；理性,Tell me the reason for your decision.,あなたの決定の理由を教えてください。,请告诉我你做这个决定的理由。,a good reason,A,0,0,A,,,,
132,actor,名词,俳優,演员,The actor played a detective in the movie.,その俳優は映画で探偵を演じました。,那位演员在电影里扮演侦探。,a movie actor,A,0,0,A,,,,
133,owner,名词,所有者,所有者；主人,The owner of this restaurant is very kind.,このレストランのオーナーはとても親切です。,这家餐厅的老板很亲切。,the owner of this restaurant,A,0,0,A,,,,
134,fossil,名词,化石,化石,The child found a small fossil in the rock.,その子どもは岩の中に小さな化石を見つけました。,那个孩子在岩石里发现了小化石。,the fossil of a dinosaur,A,0,0,A,,,,
135,husband,名词,夫,丈夫,Her husband works at a hospital.,彼女の夫は病院で働いています。,她的丈夫在医院工作。,husband and wife,A,0,0,A,,,,
136,meal,名词,食事,餐；饭,We prepared a warm meal for the guests.,私たちは客のために温かい食事を用意しました。,我们为客人准备了一顿热饭。,have a meal,A,0,0,A,,,,
137,excuse,名词,言い訳、弁解,借口；辩解,He made an excuse for being late.,彼は遅刻した言い訳をしました。,他为迟到找了借口。,make an excuse,A,0,0,A,,,,
138,advantage,名词,有利な点、利益,优点；优势；利益,One advantage of online study is flexibility.,オンライン学習の利点の一つは柔軟性です。,在线学习的一个优点是灵活。,one advantage of,A,0,0,A,,,,
139,government,名词,政府,政府,The government announced a new plan.,政府は新しい計画を発表しました。,政府公布了一项新计划。,a central government,A,0,0,A,,,,
140,information,名词,情報,信息,Please give me more information about the event.,そのイベントについてもっと情報をください。,请给我更多关于活动的信息。,a piece of information,A,0,0,A,,,,
141,operation,名词,手術、操作,手术；操作,My grandfather had an operation last year.,私の祖父は去年手術を受けました。,我爷爷去年做了手术。,have an operation,A,0,0,A,,,,
