No,English,Japanese,Example_English,Example_Japanese
89,outside,屋外に,"It's cold outside, so wear a coat.",外は寒いので、コートを着なさい。
90,instead,その代わりに,I'll have coffee instead of tea.,お茶の代わりにコーヒーをいただきます。
91,far,遠くに,How far is it from here to the airport?,ここから空港までどのくらいの距離がありますか？
92,probably,たぶん,It will probably rain tomorrow.,明日はおそらく雨が降るだろう。
93,though,でも,"It was expensive, though I bought it.",高かったけれども、私はそれを買った。
94,actually,実際に,What did he actually say?,彼は実際には何と言ったのですか？
95,later,あとで,See you later!,またあとで！
96,yet,もう/まだ,Have you finished your homework yet?,もう宿題は終わりましたか？
97,quickly,すぐに,Come here quickly!,早くここに来なさい！
98,inside,屋内に,Let's go inside the house.,家の中に入りましょう。
99,anyway,とにかく,"It's raining, but I'm going anyway.",雨が降っているが、とにかく行くつもりだ。
100,while,~している間に,Please wait here while I call him.,私が彼を呼んでいる間、ここで待っていてください。
101,taste,~の味がする,This soup tastes really good.,このスープは本当に良い味がする。
102,fix,を修理する,My father fixed my bicycle.,父が私の自転車を修理してくれた。
103,hold,を開催する,They will hold a meeting tomorrow.,彼らは明日、会議を開催する。
104,collect,を集める,My hobby is collecting stamps.,私の趣味は切手を集めることだ。
105,paint,にペンキを塗る,We painted the wall white.,私たちは壁を白く塗った。
106,copy,の写しをとる,Please copy this document for me.,この書類のコピーをとってください。
107,guess,を推測する,Can you guess what's in the box?,箱の中に何が入っているか推測できる？
108,create,を創造する,She created a beautiful work of art.,彼女は美しい芸術作品を創造した。
109,allow,~が･･･するのを許す,My parents allowed me to go abroad.,両親は私が海外へ行くのを許してくれた。
110,return,帰る,He returned home late last night.,彼は昨夜遅くに家に帰った。
111,suggest,を提案する,I suggested going to the park.,私は公園に行くことを提案した。
112,relax,くつろぐ,I like to relax on the sofa.,私はソファーでくつろぐのが好きだ。
113,add,を加える,Add some salt to the soup.,スープに塩を少し加えてください。
114,reserve,を予約する,I'd like to reserve a table for two.,2人用の席を予約したいのですが。
115,design,をデザインする,She designs clothes for children.,彼女は子供服をデザインしている。
116,follow,についていく,"Follow me, and I'll show you the way.",私についてきて。道を案内するから。
117,attract,の心をとらえる,The beautiful garden attracts many visitors.,その美しい庭園は多くの訪問者を惹きつける。
118,pass,に合格する,I passed the English exam.,私は英語の試験に合格した。
119,miss,~がいなくてさびしく思う,I will miss you very much.,あなたがいなくてとても寂しくなるだろう。
120,recommend,を推薦する,Can you recommend a good restaurant?,良いレストランを推薦してくれますか？
121,serve,を出す,They serve breakfast from 7 a.m.,朝食は午前7時から出される。
122,rent,を借りる,We rented a car for the weekend.,私たちは週末に車を借りた。
123,wake,目を覚ます,I usually wake up at six.,私はたいてい6時に目が覚める。
124,bake,を焼く,My mother is baking an apple pie.,母がアップルパイを焼いている。
125,prepare,を準備する,He is preparing for the speech.,彼はスピーチの準備をしている。
126,damage,に損傷を与える,The storm damaged many houses.,嵐が多くの家に損傷を与えた。
127,bear,を我慢する,I can't bear this noise any longer.,これ以上この騒音には我慢できない。
128,seem,~のようだ,He seems to be very happy today.,彼は今日、とても幸せそうだ。
129,explain,を説明する,Can you explain the rule again?,もう一度その規則を説明してくれますか？
130,cause,を引き起こす,Smoking causes many health problems.,喫煙は多くの健康問題を引き起こす。
131,fill,を満たす,She filled the bottle with water.,彼女はボトルを水で満たした。
132,kill,を殺す,Many people were killed in the war.,多くの人が戦争で殺された。
133,dress,服を着る,"Get dressed quickly, we're leaving!",早く服を着て。出発するわよ！
134,throw,を投げる,Don't throw stones at the dog.,犬に石を投げないでください。
135,notice,に気づく,I didn't notice that you were there.,あなたがそこにいることに気づかなかった。
136,result,結果,What was the result of the game?,試合の結果はどうだった？
137,front,最前部,There is a tree in front of the house.,家の前に木がある。
138,recipe,調理法,This is a simple recipe for curry.,これはカレーの簡単な調理法だ。
139,area,地域,This area is famous for its tea.,この地域はお茶で有名だ。
140,visitor,訪問者,We have a visitor from London.,ロンドンからの訪問者がいる。
141,clothes,衣服,I need to buy some new clothes.,新しい服を買う必要がある。
142,plastic,プラスチック,These bags are made of plastic.,これらのバッグはプラスチック製だ。
143,chance,機会,This is your last chance.,これがあなたの最後の機会だ。
144,sale,販売,Those shoes are on sale now.,それらの靴は今、セール中だ。
145,skill,技術,Computers require special skills.,コンピューターには特別な技術が必要だ。
146,presentation,発表,I have to give a presentation tomorrow.,明日、発表をしなければならない。
147,flight,定期航空便,My flight leaves at ten tonight.,私の便は今夜10時に出発する。
148,wheel,車輪,A car has four wheels.,車には4つの車輪がある。
149,product,製品,This company makes electronic products.,この会社は電子製品を作っている。
150,meal,食事,Thank you for the delicious meal.,美味しい食事をありがとう。
151,seed,種,I planted some flower seeds.,花の種をいくつか植えた。
152,land,陸地,We reached land after three days.,3日後に陸地に到着した。
153,medicine,薬,Take this medicine after meals.,食後にこの薬を飲んでください。
154,reservation,予約,I have a reservation at the hotel.,ホテルの予約をしています。
155,space,宇宙,I want to travel to space someday.,いつか宇宙を旅行したい。
156,apartment,アパート,My sister lives in an apartment.,姉はアパートに住んでいる。
157,insect,虫,There are many kinds of insects here.,ここにはたくさんの種類の虫がいる。
158,mall,ショッピングモール,Let's go to the shopping mall.,ショッピングモールへ行こう。
159,smartphone,スマートフォン,I use my smartphone every day.,私は毎日スマートフォンを使う。
160,grade,成績,He got a good grade in math.,彼は数学で良い成績をとった。
161,police,警察,Call the police immediately!,すぐに警察を呼んで！
162,prize,賞,She won first prize in the contest.,彼女はコンテストで1等賞をとった。
163,market,市場,I buy fresh vegetables at the market.,市場で新鮮な野菜を買う。
164,fair,見本市,We visited the job fair.,私たちは就職見本市を訪れた。
165,section,欄,Read the sports section of the paper.,新聞のスポーツ欄を読みなさい。
166,price,価格,The price of gasoline is rising.,ガソリンの価格が上がっている。
167,fact,事実,It is a well-known fact.,それはよく知られた事実だ。
168,department,部,He works in the sales department.,彼は営業部で働いている。
169,rule,規則,You must follow the school rules.,校則に従わなければならない。
170,nature,自然,We should enjoy the beauty of nature.,自然の美しさを楽しむべきだ。
171,island,島,Japan is an island country.,日本は島国だ。
172,goods,商品,This shop sells sports goods.,この店はスポーツ用品を売っている。
173,firefighter,消防隊員,He wants to be a firefighter.,彼は消防隊員になりたいと思っている。
174,person,人,He is a very kind person.,彼はとても親切な人だ。
175,husband,夫,My husband works in a bank.,私の夫は銀行で働いている。
176,item,品目,There are ten items on the list.,リストには10の品目がある。
177,neighbor,隣人,My neighbors are very friendly.,私の隣人たちはとてもフレンドリーだ。
178,orchestra,オーケストラ,I play the violin in an orchestra.,私はオーケストラでバイオリンを弾いている。
179,gate,門,Please close the gate.,門を閉めてください。
180,healthy,健康に良い,Eating fruit is healthy for you.,果物を食べることは健康に良い。
181,TRUE,本当の,Is it true that you are leaving?,あなたが去るというのは本当ですか？
182,afraid,~ではないかと心配して,I'm afraid it will rain tomorrow.,明日は雨ではないかと心配だ。
183,dangerous,危険な,It is dangerous to walk alone at night.,夜に一人で歩くのは危険だ。
184,wild,野生の,We saw wild animals in the forest.,森で野生の動物を見た。
185,safe,安全な,Is this water safe to drink?,この水は飲んでも安全ですか？
186,past,過去の,"In the past, there was a park here.",過去には、ここに公園があった。
187,available,入手できる,Is this ticket still available?,このチケットはまだ入手できますか？
188,successful,成功した,He is a successful businessman.,彼は成功した実業家だ。
189,perfect,完全な,The weather was perfect for a picnic.,ピクニックには完璧な天気だった。
190,less,より少なく,You should spend less money.,お金をもっと少なく使うべきだ。
191,easily,簡単に,You can do it easily.,あなたなら簡単にできる。
192,else,その他に,Anything else I can do for you?,他に何かできることはありますか？
193,abroad,海外で,My brother is studying abroad.,弟は海外で勉強している。
194,recently,最近,I haven't seen her recently.,最近、彼女を見ていない。
195,nowadays,今日(こんにち)では,"Nowadays, many people use computers.",今日では、多くの人がコンピューターを使っている。
196,somewhere,どこかに,I've seen him somewhere before.,以前どこかで彼を見たことがある。
197,forward,先へ,Move forward one step.,一歩先へ進みなさい。
198,although,~だけれども,"Although it was raining, he went out.",雨だったけれども、彼は出かけた。
199,without,~なしで,I can't live without water.,水なしでは生きられない。
200,through,~を通って,The river flows through the city.,川が街を通って流れている。
201,exchange,を交換する,I exchanged my yen for dollars at the bank.,私は銀行で円をドルに交換した。
202,drop,を落とす,Be careful not to drop the glasses.,グラスを落とさないように気をつけて。
203,climb,を登る,He climbed the mountain in five hours.,彼は5時間でその山を登った。
204,smell,~のにおいがする,The flowers smell very sweet.,その花はとても甘いにおいがする。
205,date,とデートする,I am dating him since last summer.,私は去年の夏から彼とデートしている。
206,introduce,を紹介する,Let me introduce my friend to you.,私の友人をあなたに紹介させてください。
207,recycle,を再生利用する,We should recycle plastic bottles.,私たちはペットボトルを再生利用すべきだ。
208,perform,を上演する,They performed a play on the stage.,彼らはステージで劇を上演した。
209,wish,を愿う,I wish you a happy birthday.,あなたの誕生日が幸せであることを願っています。
210,marry,と結婚する,She married a famous doctor.,彼女は有名な医者と結婚した。
211,express,を表現する,It is difficult to express my feelings.,自分の気持ちを表現するのは難しい。
212,hide,隠れる,The cat hid under the sofa.,猫はソファーの下に隠れた。
213,protect,を保護する,We must protect endangered animals.,私たちは絶滅危惧種の動物を保護しなければならない。
214,receive,を受け取る,I received a letter from my pen pal.,私はペンフレンドから手紙を受け取った。
215,steal,を盗む,Someone stole my bicycle yesterday.,昨日、誰かが私の自転車を盗んだ。
216,interview,と面接する,They interviewed him for the job.,彼らは仕事のために彼と面接した。
217,feed,~に食べ物を与える,Don't forget to feed the dog.,犬に食べ物を与えるのを忘れないで。
218,spread,広がる,The news spread quickly through the town.,そのニュースは町中にすぐに広がった。
219,deliver,を配達する,A man delivered a pizza to our house.,男の人が家にピザを配達してくれた。
220,search,を探す,I searched for my keys everywhere.,私はいたるところで鍵を探した。
221,bite,を噛む,The dog bit me on the leg.,犬が私の脚を噛んだ。
222,trade,を交換する,I traded my cards for his.,私は自分のカードを彼のものと交換した。
223,announce,を発表する,The company announced a new product.,その会社は新製品を発表した。
224,produce,を生産する,This factory produces car parts.,この工場は車の部品を生産している。
225,share,を共有する,I shared the cake with my brother.,私は兄とケーキを共有した。
226,draw,を描く,She is drawing a picture of a cat.,彼女は猫の絵を描いている。
227,wood,木材,This desk is made of wood.,この机は木材でできている。
228,reason,理由,Tell me the reason why you were late.,遅刻した理由を教えてください。
229,experience,経験,He has a lot of experience in teaching.,彼は教える経験が豊富だ。
230,bill,請求书,"Can I have the bill, please?",請求書をいただけますか？
231,discount,割引,Students can get a 10% discount.,学生は10％の割引を受けることができる。
232,form,用紙,Please fill out this application form.,この申込用紙に記入してください。
233,owner,所有者,Who is the owner of this car?,この車の所有者は誰ですか？
234,side,片側,Walk on the left side of the road.,道路の左側を歩きなさい。
235,community,地域社会,We should help our local community.,私たちは地域の社会を助けるべきだ。
236,guest,客,We have a guest for dinner tonight.,今夜は夕食に客が来る。
237,performance,演技,Her performance on the piano was great.,彼女のピアノの演技（演奏）は素晴らしかった。
238,tool,道具,A hammer is a useful tool.,ハンマーは便利な道具だ。
239,century,1世纪,We are living in the 21st century.,私たちは21世紀に生きている。
240,dessert,デザート,What would you like for dessert?,デザートは何がいいですか？
241,poem,诗,He wrote a poem for his mother.,彼は母親のために詩を書いた。
242,government,政府,The government decided to build a school.,政府は学校を建てることを決めた。
243,novel,小説,I am reading an interesting novel.,私は面白い小説を読んでいる。
244,professor,教授,He is a professor at Tokyo University.,彼は東京大学の教授だ。
245,project,計画,We are working on a new project.,私たちは新しい計画（プロジェクト）に取り組んでいる。
246,charity,慈善事業,She gave some money to charity.,彼女は慈善事業にお金を寄付した。
247,million,100万,More than a million people live here.,100万人以上の人がここに住んでいる。
248,instrument,器具,Do you play any musical instruments?,何か楽器（器具）を演奏しますか？
249,mistake,間違い,I made a mistake in the math test.,数学のテストで間違いをした。
250,earth,地球,The earth goes around the sun.,地球は太陽の周りを回っている。
251,address,住所,Please write your name and address here.,ここに名前と住所を書いてください。
252,co-worker,同僚,I went to lunch with my co-workers.,私は同僚たちとランチに行った。
253,cleaner,クリーニング店,I took my suit to the cleaners.,スーツをクリーニング店に持っていった。
254,match,試合,I'm looking forward to the soccer match.,サッカーの試合を楽しみにしている。
255,fan,ファン,He is a big fan of baseball.,彼は野球の大ファンだ。
256,grandparent,祖父/祖母,I visited my grandparents last weekend.,先週末、祖父母を訪ねた。
257,president,大統領,He was elected president of the club.,彼はクラブの会長（大統領）に選ばれた。
258,wallpaper,壁纸,We changed the wallpaper in the room.,部屋の壁紙を変えた。
259,health,健康なこと,Smoking is bad for your health.,喫煙は健康に悪い。
260,Europe,ヨーロッパ,I've never been to Europe before.,ヨーロッパへは一度も行ったことがない。
261,technology,科学技術,Modern technology is changing our lives.,現代の科学技術は私たちの生活を変えている。
262,suit,スーツ,He wore a black suit to the wedding.,彼は結婚式に黒いスーツを着ていった。
263,note,覚え書き,I wrote a short note to my teacher.,先生に短い覚え書きを書いた。
264,score,得点,What was the final score of the game?,試合の最終得点はどうだった？
265,gift,才能,She has a gift for playing the piano.,彼女にはピアノを弾く才能がある。
266,rest,休み,You should take a rest for a while.,しばらく休みをとるべきだ。
267,view,眺め,The view from the top is beautiful.,頂上からの眺めは美しい。
268,crowd,群集,There was a big crowd in the street.,通りには大きな群集がいた。
269,jazz,ジャズ,I like listening to jazz music.,私はジャズを聴くのが好きだ。
270,direction,方向,Which direction should I go?,どちらの方向へ行くべきですか？
271,topic,話題,What is the topic of your speech?,スピーチの話題は何ですか？
272,wallet,財布,I lost my wallet on the train.,電車の中で財布を失くした。
273,piece,1片,Would you like a piece of cake?,ケーキを1片（1個）いかがですか？
274,package,小さな包み,A package arrived for you this morning.,今朝、あなたに小さな包みが届いた。
275,teammate,チームメート,He is one of my teammates.,彼は私のチームメートの一人だ。
276,playground,遊び場,The children are in the playground.,子供たちは遊び場にいる。
277,planet,惑星,Mars is called the red planet.,火星は赤い惑星と呼ばれている。
278,salon,高級店,She went to a hair salon yesterday.,彼女は昨日ヘアサロン（高級店）へ行った。
279,accident,事故,There was a car accident on this road.,この道路で交通事故があった。
280,actor,俳優,He is a very popular actor in Japan.,彼は日本でとても人気のある俳優だ。
281,traditional,伝統的な,We like traditional Japanese food.,私たちは伝統的な日本料理が好きだ。
282,Russian,ロシアの,She can speak Russian very well.,彼女はロシア語をとても上手に話せる。
283,human,人間の,To err is human.,過ちを犯すのは人間（の常）だ。
284,cheap,安い,This shop sells very cheap clothes.,この店はとても安い服を売っている。
285,either,どちらか一方の,You can take either bus.,どちらか一方のバスに乗ればよい。
286,professional,プロの,He is a professional golf player.,彼はプロのゴルフ選手だ。
287,similar,類似した,My shoes are similar to yours.,私の靴はあなたのと類似している。
288,part-time,パートタイムの,I have a part-time job at a cafe.,私はカフェでパートタイムの仕事をしている。
289,whole,全体の,He ate the whole pizza by himself.,彼は一人でピザ全体を食べてしまった。
290,frozen,凍った,I bought some frozen food.,私は冷凍（凍った）食品を買った。
291,central,中心部の,The station is in the central part of the city.,駅は市の中心部にある。
292,loud,大きい,Don't talk in such a loud voice.,そんなに大きい声で話さないで。
293,magic,奇術の,He showed us some magic tricks.,彼は私たちにいくつか奇術を見せてくれた。
294,pretty,なかなか,The exam was pretty difficult.,試験はなかなか難しかった。
295,certainly,確かに,I will certainly help you.,私は確かにあなたを助けます。
296,finally,ついに,"Finally, the rain stopped.",ついに雨が止んだ。
297,alone,1人で,I don't like being alone.,私は1人でいるのが好きではない。
298,therefore,それゆえに,"I was sick, and therefore I stayed home.",私は病気だった。それゆえに家にいた。
299,lately,最近,I've been very busy lately.,最近とても忙しい。
300,might,もしかすると〜かもしれない,It might rain in the afternoon.,午後はもしかすると雨が降るかもしれない。
301,stand,を我慢する,I can't stand this hot weather.,この暑い天気には我慢できない。 
302,reach,に到着する,We reached the station on time.,私たちは時間通りに駅に到着した。 
303,promise,を約束する,He promised to call me tonight.,彼は今夜電話すると約束した。 
304,film,を撮影する,They are filming a movie in the park.,彼らは公園で映画を撮影している。 
305,fit,~にサイズがぴったり合う,These shoes fit me perfectly.,この靴は私にサイズがぴったり合う。 
306,celebrate,を祝う,We celebrated her birthday at a restaurant.,私たちはレストランで彼女の誕生日を祝った。 
307,stretch,ストレッチをする,You should stretch before you run.,走る前にストレッチをするべきだ。 
308,cover,を覆う,Snow covered the whole town.,雪が町全体を覆った。 
309,develop,を開発する,The company is developing a new app.,その会社は新しいアプリを開発している。 
310,solve,を解決する,I finally solved the difficult math problem.,ついに難しい数学の問題を解決した。 
311,discover,を発見する,Columbus discovered America in 1492.,コロンブスは1492年にアメリカを発見した。 
312,continue,を続ける,Please continue reading the story.,物語を読み続けてください。 
313,face,に直面する,We are facing a serious problem.,私たちは深刻な問題に直面している。 
314,shape,を形作る,She shaped the clay into a bowl.,彼女は粘土をボウルの形に形作った。 
315,print,を印刷する,I need to print ten copies of this paper.,この書類を10部印刷する必要がある。 
316,lend,貸す,Can you lend me your umbrella?,傘を貸してくれますか？ 
317,realize,を実現する,He finally realized his dream of becoming a pilot.,彼はついにパイロットになるという夢を実現した。 
318,wonder,~かなと思う,I wonder why she didn't come.,なぜ彼女は来なかったのかなと思う。 
319,die,死ぬ,Many people died in the accident.,その事故で多くの人が死んだ。 
320,pull,を引く,Pull the door to open it.,ドアを開けるために引いてください。 
321,push,を押す,Don't push the button yet.,まだボタンを押さないでください。 
322,shake,を振る,Shake the bottle before drinking.,飲む前にボトルを振ってください。 
323,agree,賛成する,I agree with your opinion.,私はあなたの意見に賛成する。 
324,mean,を意味する,What does this word mean?,この単語は何を意味しますか？ 
325,mind,を気にする,Do you mind if I open the window?,窓を開けても気にしませんか？（いいですか？） 
326,improve,を改良する,He is trying to improve his English.,彼は英語を改良（向上）させようとしている。 
327,include,を含む,The price includes breakfast.,価格には朝食が含まれている。 
328,enter,に入る,Please enter the room quietly.,静かに部屋に入ってください。 
329,communicate,意思を通じ合う,It is important to communicate with each other.,お互いに意思を通じ合うことは重要だ。 
330,tourist,観光客,Kyoto is always full of tourists.,京都はいつも観光客でいっぱいだ。 
331,center,中心,The museum is in the center of the city.,博物館は市の中心にある。 
332,attention,注目,Please pay attention to what I say.,私の言うことに注目（注意）してください。 
333,couple,カップル,I saw a young couple in the park.,公園で若いカップルを見た。 
334,license,免許証,You need a license to drive a car.,車を運転するには免許証が必要だ。 
335,kid,子ども,The kids are playing in the garden.,子どもたちが庭で遊んでいる。 
336,desert,砂漠,Sahara is the largest desert in the world.,サハラは世界で最大の砂漠だ。 
337,invention,発明品,The telephone was a great invention.,電話は素晴らしい発明品だった。 
338,chemistry,化学,She is interested in chemistry.,彼女は化学に興味がある。 
339,neighborhood,近所,There is a new park in our neighborhood.,私たちの近所に新しい公園がある。 
340,officer,警官,A police officer helped me find the way.,警官が道を探すのを助けてくれた。 
341,moment,瞬間,Please wait for a moment.,少しの間（瞬間）、待ってください。 
342,rock,岩,He climbed up the big rock.,彼は大きな岩を登った。 
343,cart,ショッピングカート,Put the groceries in the cart.,ショッピングカートに食料品を入れなさい。 
344,grass,芝生,Don't walk on the grass.,芝生の上を歩かないでください。 
345,traffic,交通量,There is a lot of traffic this morning.,今朝は交通量が多い。 
346,staff,スタッフ,The hotel staff were very kind.,ホテルのスタッフはとても親切だった。 
347,snake,ヘビ,I'm afraid of snakes.,私はヘビが怖い。 
348,grocery,食糧雑貨,I went to the grocery store to buy milk.,牛乳を買いに食糧雑貨店へ行った。 
349,fee,料金,You have to pay an entrance fee.,入場料金を払わなければならない。 
350,clothing,衣服,I bought some winter clothing.,冬用の衣服をいくつか買った。 
351,training,訓練,He is undergoing hard training.,彼は厳しい訓練を受けている。 
352,yoga,ヨガ,My mother does yoga every morning.,母は毎朝ヨガをしている。 
353,truck,トラック,A big truck is parked on the street.,大きなトラックが通りに停まっている。 
354,forest,森林地帯,We enjoyed walking through the forest.,私たちは森林地帯を歩くのを楽しんだ。 
355,flavor,味,This ice cream has a strawberry flavor.,このアイスクリームはイチゴの味がする。 
356,weight,重さ,He is worried about his weight.,彼は自分の重さ（体重）を気にしている。 
357,subway,地下鉄,I go to school by subway.,私は地下鉄で学校へ行く。 
358,discovery,発見,The discovery of fire changed human history.,火の発見は人類の歴史を変えた。 
359,oven,オーブン,She baked the cake in the oven.,彼女はオーブンでケーキを焼いた。 
360,ID,身分証明書,You need to show your ID card.,身分証明書を提示する必要がある。 
361,beginner,初心者,This class is for beginners.,このクラスは初心者向けだ。 
362,cough,せき,I have a bad cough today.,今日はひどいせきが出る。 
363,firework,花火,We watched the fireworks at the festival.,私たちは祭りで花火を見た。 
364,flag,旗,He was waving a small flag.,彼は小さな旗を振っていた。 
365,housework,家事,My father helps with the housework.,父は家事を手伝ってくれる。 
366,ant,アリ,Look at the ants on the ground.,地面のアリを見なさい。 
367,ground,地面,I found a coin on the ground.,地面でコインを見つけた。 
368,schedule,予定表,I have a busy schedule this week.,今週は忙しい予定表（スケジュール）だ。 
369,noise,騒音,Please don't make so much noise.,そんなに大きな騒音を立てないでください。 
370,storm,嵐,A big storm is coming tonight.,今夜、大きな嵐がやってくる。 
371,shelf,棚,Put the books back on the shelf.,本を棚に戻しなさい。 
372,elevator,エレベーター,Let's take the elevator to the fifth floor.,5階までエレベーターで行こう。 
373,Pacific,太平洋沿岸の,We visited a city on the Pacific coast.,私たちは太平洋沿岸の街を訪れた。 
374,careful,注意深い,Be careful when you cross the street.,通りを渡る時は注意深くしなさい。 
375,public,公共の,Smoking is not allowed in public places.,公共の場での喫煙は許されていない。 
376,British,英国の,He speaks with a British accent.,彼は英国のアクセントで話す。 
377,friendly,友好的な,The local people were very friendly.,地元の人々はとても友好的（親切）だった。 
378,native,生まれた土地の,English is his native language.,英語は彼の生まれた土地の言葉（母国語）だ。 
