set_no,set_title,question_no_in_set,global_question_id,question_type,question_text,choice_1,choice_2,choice_3,choice_4,correct_choice_no,correct_answer,explanation_cn,target_word,part_of_speech,jp_meaning,cn_meaning,collocation,source_basis,child_answer,auto_result_formula,attempt_count,wrong_count,error_rate_formula,last_practiced_date,last_wrong_date,status,notes
2,EIKEN Pre-2 Practice Set 02,1,11,词汇・熟语四选一,The old dog is _____ in one eye.,convenient,blind,flat,different,2,blind,正确答案是 blind，意思是：失明的；看不见的。例句考查：be blind in one eye。,blind,形容词,目の見えない,失明的；看不见的,be blind in one eye,uploaded_vocab_database,,"=IF(T12="""","""",IF(T12=K12,""○"",""×""))",0,0,"=IF(V12=0,"""",W12/V12)",,,未练习,
2,EIKEN Pre-2 Practice Set 02,2,12,词汇・熟语四选一,The movie was _____.,cheap,portable,expensive,boring,4,boring,正确答案是 boring，意思是：无聊的。例句考查：a boring program。,boring,形容词,退屈な,无聊的,a boring program,uploaded_vocab_database,,"=IF(T13="""","""",IF(T13=K13,""○"",""×""))",0,0,"=IF(V13=0,"""",W13/V13)",,,未练习,
2,EIKEN Pre-2 Practice Set 02,3,13,词汇・熟语四选一,The room is _____ in the morning.,bright,honest,traditional,huge,1,bright,正确答案是 bright，意思是：明亮的；聪明的。例句考查：a bright future。,bright,形容词,明るい；利口な,明亮的；聪明的,a bright future,uploaded_vocab_database,,"=IF(T14="""","""",IF(T14=K14,""○"",""×""))",0,0,"=IF(V14=0,"""",W14/V14)",,,未练习,
2,EIKEN Pre-2 Practice Set 02,4,14,词汇・熟语四选一,Stay _____ and listen carefully.,difficult,nearby,frightened,calm,4,calm,正确答案是 calm，意思是：冷静的；平静的。例句考查：stay calm。,calm,形容词,落ち着いた,冷静的；平静的,stay calm,uploaded_vocab_database,,"=IF(T15="""","""",IF(T15=K15,""○"",""×""))",0,0,"=IF(V15=0,"""",W15/V15)",,,未练习,
2,EIKEN Pre-2 Practice Set 02,5,15,词汇・熟语四选一,Be _____ when you cross the street.,own,fantastic,full-time,careful,4,careful,正确答案是 careful，意思是：小心的；仔细的。例句考查：be careful not to do。,careful,形容词,注意深い,小心的；仔细的,be careful not to do,uploaded_vocab_database,,"=IF(T16="""","""",IF(T16=K16,""○"",""×""))",0,0,"=IF(V16=0,"""",W16/V16)",,,未练习,
2,EIKEN Pre-2 Practice Set 02,6,16,会话补全,"A: You look worried. What's wrong?
B: I can't find my science notebook.
A: _____
B: Thanks. I remember I used it in the classroom.",The bus will arrive soon.,This notebook is expensive.,Let's look for it together.,I don't enjoy science.,3,Let's look for it together.,对方找不到东西时，主动提出一起找最合适。,,,,,,generated_from_pre2_pattern,,"=IF(T17="""","""",IF(T17=K17,""○"",""×""))",0,0,"=IF(V17=0,"""",W17/V17)",,,未练习,
2,EIKEN Pre-2 Practice Set 02,7,17,会话补全,"A: How was your weekend?
B: It was great. I visited my grandparents.
A: _____
B: Yes. We cooked dinner together.",Did you have a good time?,Can I borrow your pencil?,Where is my umbrella?,You should be quiet.,1,Did you have a good time?,B说周末很棒，所以询问是否玩得开心最自然。,,,,,,generated_from_pre2_pattern,,"=IF(T18="""","""",IF(T18=K18,""○"",""×""))",0,0,"=IF(V18=0,"""",W18/V18)",,,未练习,
2,EIKEN Pre-2 Practice Set 02,8,18,语句补全・语法,I decided _____ English for thirty minutes every day.,studied,studying,to study,study,3,to study,decide to do 表示'决定做某事'。,,,,,,generated_from_pre2_pattern,,"=IF(T19="""","""",IF(T19=K19,""○"",""×""))",0,0,"=IF(V19=0,"""",W19/V19)",,,未练习,
2,EIKEN Pre-2 Practice Set 02,9,19,语句补全・语法,She is interested in _____ about animals.,learn,learning,learned,to learn,2,learning,be interested in 后面接名词或动名词。,,,,,,generated_from_pre2_pattern,,"=IF(T20="""","""",IF(T20=K20,""○"",""×""))",0,0,"=IF(V20=0,"""",W20/V20)",,,未练习,
2,EIKEN Pre-2 Practice Set 02,10,20,短文空所補充,"Emma joined the school cooking club this year. At first, she only watched older students cook. One day, the teacher asked her to make soup for the club. Emma was nervous, but she followed the recipe carefully. Everyone said the soup tasted good, so Emma felt more confident.

(Blank) Emma felt more confident because _____.",everyone liked her soup,older students stopped cooking,she bought a new recipe book,the teacher canceled the club,1,everyone liked her soup,大家说汤很好喝，所以她更有信心。,,,,,,generated_from_pre2_pattern,,"=IF(T21="""","""",IF(T21=K21,""○"",""×""))",0,0,"=IF(V21=0,"""",W21/V21)",,,未练习,
3,EIKEN Pre-2 Practice Set 03,1,21,词汇・熟语四选一,I am _____ that he will come.,cute,certain,silly,nearby,2,certain,正确答案是 certain，意思是：确定的；某些的。例句考查：certain groups。,certain,形容词,確信して；ある,确定的；某些的,certain groups,uploaded_vocab_database,,"=IF(T22="""","""",IF(T22=K22,""○"",""×""))",0,0,"=IF(V22=0,"""",W22/V22)",,,未练习,
3,EIKEN Pre-2 Practice Set 03,2,22,词汇・熟语四选一,I bought a _____ camera online.,cheap,serious,alike,full-time,1,cheap,正确答案是 cheap，意思是：便宜的。例句考查：a cheap camera。,cheap,形容词,安い,便宜的,a cheap camera,uploaded_vocab_database,,"=IF(T23="""","""",IF(T23=K23,""○"",""×""))",0,0,"=IF(V23=0,"""",W23/V23)",,,未练习,
3,EIKEN Pre-2 Practice Set 03,3,23,词汇・熟语四选一,She gave me a _____ answer.,normal,local,clear,dramatic,3,clear,正确答案是 clear，意思是：清楚的；晴朗的。例句考查：clear answer。,clear,形容词,はっきりした；晴れた；澄んだ,清楚的；晴朗的,clear answer,uploaded_vocab_database,,"=IF(T24="""","""",IF(T24=K24,""○"",""×""))",0,0,"=IF(V24=0,"""",W24/V24)",,,未练习,
3,EIKEN Pre-2 Practice Set 03,4,24,词汇・熟语四选一,My house is _____ to the station.,foreign,boring,close,central,3,close,正确答案是 close，意思是：近的；亲密的。例句考查：close to。,close,形容词,接近した；親密な,近的；亲密的,close to,uploaded_vocab_database,,"=IF(T25="""","""",IF(T25=K25,""○"",""×""))",0,0,"=IF(V25=0,"""",W25/V25)",,,未练习,
3,EIKEN Pre-2 Practice Set 03,5,25,词汇・熟语四选一,This chair is very _____.,comfortable,huge,quiet,natural,1,comfortable,正确答案是 comfortable，意思是：舒适的。例句考查：a comfortable seat。,comfortable,形容词,快適な,舒适的,a comfortable seat,uploaded_vocab_database,,"=IF(T26="""","""",IF(T26=K26,""○"",""×""))",0,0,"=IF(V26=0,"""",W26/V26)",,,未练习,
3,EIKEN Pre-2 Practice Set 03,6,26,会话补全,"A: May I use your dictionary for a minute?
B: Sure. _____
A: Thanks. I'll give it back soon.",It sounds dangerous.,I missed the train.,Here you are.,That's too far.,3,Here you are.,借东西时递给对方用 Here you are。,,,,,,generated_from_pre2_pattern,,"=IF(T27="""","""",IF(T27=K27,""○"",""×""))",0,0,"=IF(V27=0,"""",W27/V27)",,,未练习,
3,EIKEN Pre-2 Practice Set 03,7,27,会话补全,"A: I'm sorry I'm late. The bus was crowded.
B: That's all right. _____
A: Good. Let's start our homework.",The weather was very hot.,This cake tastes sweet.,We still have enough time.,I have never seen a bus.,3,We still have enough time.,对方迟到时，说明还有时间，符合上下文。,,,,,,generated_from_pre2_pattern,,"=IF(T28="""","""",IF(T28=K28,""○"",""×""))",0,0,"=IF(V28=0,"""",W28/V28)",,,未练习,
3,EIKEN Pre-2 Practice Set 03,8,28,语句补全・语法,This book is easy enough for children _____.,reading,read,reads,to read,4,to read,形容词 + enough + to do。,,,,,,generated_from_pre2_pattern,,"=IF(T29="""","""",IF(T29=K29,""○"",""×""))",0,0,"=IF(V29=0,"""",W29/V29)",,,未练习,
3,EIKEN Pre-2 Practice Set 03,9,29,语句补全・语法,I spent two hours _____ my room yesterday.,cleaning,cleaned,clean,to clean,1,cleaning,spend time doing 表示'花时间做某事'。,,,,,,generated_from_pre2_pattern,,"=IF(T30="""","""",IF(T30=K30,""○"",""×""))",0,0,"=IF(V30=0,"""",W30/V30)",,,未练习,
3,EIKEN Pre-2 Practice Set 03,10,30,短文空所補充,"Tom usually went to school by bus. However, the bus was late many times this month. His friend told him that riding a bicycle would be faster. Tom tried it on Monday and arrived at school ten minutes earlier than usual. Now he rides his bike when the weather is good.

(Blank) Tom started riding his bike because _____.",his school moved far away,he disliked his friend,he wanted a new helmet,the bus was often late,4,the bus was often late,公交经常迟到，所以他尝试骑自行车。,,,,,,generated_from_pre2_pattern,,"=IF(T31="""","""",IF(T31=K31,""○"",""×""))",0,0,"=IF(V31=0,"""",W31/V31)",,,未练习,
4,EIKEN Pre-2 Practice Set 04,1,31,词汇・熟语四选一,English is a _____ language in many countries.,calm,own,common,perfect,3,common,正确答案是 common，意思是：共同的；常见的。例句考查：common language。,common,形容词,共通の；普通の,共同的；常见的,common language,uploaded_vocab_database,,"=IF(T32="""","""",IF(T32=K32,""○"",""×""))",0,0,"=IF(V32=0,"""",W32/V32)",,,未练习,
4,EIKEN Pre-2 Practice Set 04,2,32,词汇・熟语四选一,We need a _____ plan before we start.,awful,blind,fresh,concrete,4,concrete,正确答案是 concrete，意思是：具体的；混凝土的。例句考查：a concrete plan。,concrete,形容词,具体的な；コンクリート製の,具体的；混凝土的,a concrete plan,uploaded_vocab_database,,"=IF(T33="""","""",IF(T33=K33,""○"",""×""))",0,0,"=IF(V33=0,"""",W33/V33)",,,未练习,
4,EIKEN Pre-2 Practice Set 04,3,33,词汇・熟语四选一,This app is _____ for studying English.,handsome,convenient,ordinary,similar,2,convenient,正确答案是 convenient，意思是：方便的。例句考查：a convenient tool。,convenient,形容词,便利な,方便的,a convenient tool,uploaded_vocab_database,,"=IF(T34="""","""",IF(T34=K34,""○"",""×""))",0,0,"=IF(V34=0,"""",W34/V34)",,,未练习,
4,EIKEN Pre-2 Practice Set 04,4,34,词汇・熟语四选一,Please choose the _____ answer.,quiet,male,certain,correct,4,correct,正确答案是 correct，意思是：正确的；合适的。例句考查：correct answer。,correct,形容词,正しい；適切な,正确的；合适的,correct answer,uploaded_vocab_database,,"=IF(T35="""","""",IF(T35=K35,""○"",""×""))",0,0,"=IF(V35=0,"""",W35/V35)",,,未练习,
4,EIKEN Pre-2 Practice Set 04,5,35,词汇・熟语四选一,That puppy is very _____.,noisy,afraid,cute,available,3,cute,正确答案是 cute，意思是：可爱的。例句考查：a cute baby。,cute,形容词,かわいい,可爱的,a cute baby,uploaded_vocab_database,,"=IF(T36="""","""",IF(T36=K36,""○"",""×""))",0,0,"=IF(V36=0,"""",W36/V36)",,,未练习,
4,EIKEN Pre-2 Practice Set 04,6,36,会话补全,"A: I got a new bike yesterday.
B: Really? _____
A: Blue. It's my favorite color.",When is the test?,Why did you open the window?,How old is your sister?,What color is it?,4,What color is it?,回答是Blue，所以问题应问颜色。,,,,,,generated_from_pre2_pattern,,"=IF(T37="""","""",IF(T37=K37,""○"",""×""))",0,0,"=IF(V37=0,"""",W37/V37)",,,未练习,
4,EIKEN Pre-2 Practice Set 04,7,37,会话补全,"A: Do you want to watch a movie tonight?
B: I'd like to, but I have a lot of homework.
A: _____
B: Good idea. Let's watch one this weekend.",I bought some vegetables.,You should stop studying forever.,How about watching one on Saturday?,This movie started yesterday.,3,How about watching one on Saturday?,今天不行，所以提议周六看最自然。,,,,,,generated_from_pre2_pattern,,"=IF(T38="""","""",IF(T38=K38,""○"",""×""))",0,0,"=IF(V38=0,"""",W38/V38)",,,未练习,
4,EIKEN Pre-2 Practice Set 04,8,38,语句补全・语法,Ken is looking forward to _____ his cousin next week.,seen,see,saw,seeing,4,seeing,look forward to 后面接动名词。,,,,,,generated_from_pre2_pattern,,"=IF(T39="""","""",IF(T39=K39,""○"",""×""))",0,0,"=IF(V39=0,"""",W39/V39)",,,未练习,
4,EIKEN Pre-2 Practice Set 04,9,39,语句补全・语法,This is the park _____ we played soccer last Sunday.,where,who,whose,which,1,where,表示地点的关系副词用 where。,,,,,,generated_from_pre2_pattern,,"=IF(T40="""","""",IF(T40=K40,""○"",""×""))",0,0,"=IF(V40=0,"""",W40/V40)",,,未练习,
4,EIKEN Pre-2 Practice Set 04,10,40,短文空所補充,"Mika wanted to improve her English listening skills. She began listening to short English stories every night before bed. At first, she understood only a few words. After two months, she could understand most of the stories. She was happy because her daily practice helped her.

(Blank) Mika improved her listening because she _____.",practiced every night,bought a new bed,stopped reading books,moved to another country,1,practiced every night,每天晚上练习听英语，所以听力提高。,,,,,,generated_from_pre2_pattern,,"=IF(T41="""","""",IF(T41=K41,""○"",""×""))",0,0,"=IF(V41=0,"""",W41/V41)",,,未练习,
5,EIKEN Pre-2 Practice Set 05,1,41,词汇・熟语四选一,It is _____ to swim in this river.,flat,dangerous,public,particular,2,dangerous,正确答案是 dangerous，意思是：危险的。例句考查：a dangerous place。,dangerous,形容词,危険な,危险的,a dangerous place,uploaded_vocab_database,,"=IF(T42="""","""",IF(T42=K42,""○"",""×""))",0,0,"=IF(V42=0,"""",W42/V42)",,,未练习,
5,EIKEN Pre-2 Practice Set 05,2,42,词汇・熟语四选一,The curry was _____.,harmful,delicious,dependent,another,2,delicious,正确答案是 delicious，意思是：美味的。例句考查：a delicious meal。,delicious,形容词,おいしい,美味的,a delicious meal,uploaded_vocab_database,,"=IF(T43="""","""",IF(T43=K43,""○"",""×""))",0,0,"=IF(V43=0,"""",W43/V43)",,,未练习,
5,EIKEN Pre-2 Practice Set 05,3,43,词汇・熟语四选一,This answer is _____ from mine.,global,familiar,square,different,4,different,正确答案是 different，意思是：不同的；各种各样的。例句考查：different from。,different,形容词,違った；いろいろな,不同的；各种各样的,different from,uploaded_vocab_database,,"=IF(T44="""","""",IF(T44=K44,""○"",""×""))",0,0,"=IF(V44=0,"""",W44/V44)",,,未练习,
5,EIKEN Pre-2 Practice Set 05,4,44,词汇・熟语四选一,This math problem is _____ for me.,difficult,clear,cute,cheap,1,difficult,正确答案是 difficult，意思是：困难的；难的。例句考查：a difficult problem。,difficult,形容词,困難な；難しい,困难的；难的,a difficult problem,uploaded_vocab_database,,"=IF(T45="""","""",IF(T45=K45,""○"",""×""))",0,0,"=IF(V45=0,"""",W45/V45)",,,未练习,
5,EIKEN Pre-2 Practice Set 05,5,45,词汇・熟语四选一,The bottle is _____.,honest,natural,empty,male,3,empty,正确答案是 empty，意思是：空的。例句考查：an empty bottle。,empty,形容词,空の,空的,an empty bottle,uploaded_vocab_database,,"=IF(T46="""","""",IF(T46=K46,""○"",""×""))",0,0,"=IF(V46=0,"""",W46/V46)",,,未练习,
5,EIKEN Pre-2 Practice Set 05,6,46,会话补全,"A: This box is too heavy for me.
B: _____
A: Thank you. That's very kind of you.",It is raining outside.,I read that book twice.,I want to buy a ticket.,I'll help you carry it.,4,I'll help you carry it.,对方搬不动箱子时，提出帮忙搬。,,,,,,generated_from_pre2_pattern,,"=IF(T47="""","""",IF(T47=K47,""○"",""×""))",0,0,"=IF(V47=0,"""",W47/V47)",,,未练习,
5,EIKEN Pre-2 Practice Set 05,7,47,会话补全,"A: What should we give Ms. Green for her birthday?
B: _____ She loves flowers.
A: Great idea.",Let's cancel the party.,How about some flowers?,I don't know her name.,The room is too cold.,2,How about some flowers?,后面说她喜欢花，所以提议送花。,,,,,,generated_from_pre2_pattern,,"=IF(T48="""","""",IF(T48=K48,""○"",""×""))",0,0,"=IF(V48=0,"""",W48/V48)",,,未练习,
5,EIKEN Pre-2 Practice Set 05,8,48,语句补全・语法,I have lived in Yokohama _____ I was six years old.,since,during,for,until,1,since,since + 过去时间点/从句。,,,,,,generated_from_pre2_pattern,,"=IF(T49="""","""",IF(T49=K49,""○"",""×""))",0,0,"=IF(V49=0,"""",W49/V49)",,,未练习,
5,EIKEN Pre-2 Practice Set 05,9,49,语句补全・语法,The cake was made _____ my sister.,by,of,with,from,1,by,被动语态中动作执行者用 by。,,,,,,generated_from_pre2_pattern,,"=IF(T50="""","""",IF(T50=K50,""○"",""×""))",0,0,"=IF(V50=0,"""",W50/V50)",,,未练习,
5,EIKEN Pre-2 Practice Set 05,10,50,短文空所補充,"A small town had a problem with trash in the park. Some students decided to clean the park every Saturday morning. At first, only five students came, but more people joined after seeing their work. After three months, the park became much cleaner.

(Blank) More people joined the students after they _____.",lost their homework,closed the park,saw the students' work,moved to a big city,3,saw the students' work,看到学生们的行动后，更多人加入。,,,,,,generated_from_pre2_pattern,,"=IF(T51="""","""",IF(T51=K51,""○"",""×""))",0,0,"=IF(V51=0,"""",W51/V51)",,,未练习,
6,EIKEN Pre-2 Practice Set 06,1,51,词汇・熟语四选一,We have _____ time to finish the work.,enough,official,final,healthy,1,enough,正确答案是 enough，意思是：足够的；足够地。例句考查：enough time。,enough,形容词/副词,十分な；十分に,足够的；足够地,enough time,uploaded_vocab_database,,"=IF(T52="""","""",IF(T52=K52,""○"",""×""))",0,0,"=IF(V52=0,"""",W52/V52)",,,未练习,
6,EIKEN Pre-2 Practice Set 06,2,52,词汇・熟语四选一,That watch is too _____ for me.,absent,healthy,expensive,final,3,expensive,正确答案是 expensive，意思是：昂贵的。例句考查：an expensive watch。,expensive,形容词,高価な,昂贵的,an expensive watch,uploaded_vocab_database,,"=IF(T53="""","""",IF(T53=K53,""○"",""×""))",0,0,"=IF(V53=0,"""",W53/V53)",,,未练习,
6,EIKEN Pre-2 Practice Set 06,3,53,词汇・熟语四选一,We need an _____ chair for the guest.,secondhand,extra,safe,international,2,extra,正确答案是 extra，意思是：额外的；多余的。例句考查：an extra charge。,extra,形容词,追加の；余分の,额外的；多余的,an extra charge,uploaded_vocab_database,,"=IF(T54="""","""",IF(T54=K54,""○"",""×""))",0,0,"=IF(V54=0,"""",W54/V54)",,,未练习,
6,EIKEN Pre-2 Practice Set 06,4,54,词汇・熟语四选一,This song is _____ to many people.,excellent,familiar,secondhand,friendly,2,familiar,正确答案是 familiar，意思是：熟悉的；精通的。例句考查：be familiar with。,familiar,形容词,精通して；よく知られた,熟悉的；精通的,be familiar with,uploaded_vocab_database,,"=IF(T55="""","""",IF(T55=K55,""○"",""×""))",0,0,"=IF(V55=0,"""",W55/V55)",,,未练习,
6,EIKEN Pre-2 Practice Set 06,5,55,词汇・熟语四选一,This is the _____ question.,international,final,portable,central,2,final,正确答案是 final，意思是：最后的。例句考查：final chance。,final,形容词,最後の,最后的,final chance,uploaded_vocab_database,,"=IF(T56="""","""",IF(T56=K56,""○"",""×""))",0,0,"=IF(V56=0,"""",W56/V56)",,,未练习,
6,EIKEN Pre-2 Practice Set 06,6,56,会话补全,"A: I'm going to the library after school. Do you want to come with me?
B: Sorry, I can't. I have to help my mother cook dinner.
A: That's OK. _____
B: Maybe tomorrow.",I don't like cooking.,The library is closed.,You should buy a book.,I'll ask you again later.,4,I'll ask you again later.,对方今天不能去，所以'下次再问你'最自然。,,,,,,generated_from_pre2_pattern,,"=IF(T57="""","""",IF(T57=K57,""○"",""×""))",0,0,"=IF(V57=0,"""",W57/V57)",,,未练习,
6,EIKEN Pre-2 Practice Set 06,7,57,会话补全,"A: Excuse me. Could you tell me how to get to the station?
B: Sure. Go straight and turn right at the next corner.
A: Thank you. Is it far from here?
B: No, _____",you should practice more.,I prefer trains to buses.,I lost my ticket yesterday.,it takes about five minutes on foot.,4,it takes about five minutes on foot.,回答距离远近时，用步行大约几分钟很自然。,,,,,,generated_from_pre2_pattern,,"=IF(T58="""","""",IF(T58=K58,""○"",""×""))",0,0,"=IF(V58=0,"""",W58/V58)",,,未练习,
6,EIKEN Pre-2 Practice Set 06,8,58,语句补全・语法,"If it rains tomorrow, we _____ at home.",will stay,stay,stayed,have stayed,1,will stay,条件状语从句用现在时，主句用 will。,,,,,,generated_from_pre2_pattern,,"=IF(T59="""","""",IF(T59=K59,""○"",""×""))",0,0,"=IF(V59=0,"""",W59/V59)",,,未练习,
6,EIKEN Pre-2 Practice Set 06,9,59,语句补全・语法,I have never _____ such a beautiful lake before.,seen,seeing,see,saw,1,seen,现在完成 have never + 过去分词。,,,,,,generated_from_pre2_pattern,,"=IF(T60="""","""",IF(T60=K60,""○"",""×""))",0,0,"=IF(V60=0,"""",W60/V60)",,,未练习,
6,EIKEN Pre-2 Practice Set 06,10,60,短文空所補充,"Yuki's grandfather grows vegetables in his garden. During summer vacation, Yuki helped him water the plants every morning. She learned that tomatoes need a lot of sunlight and water. At the end of summer, they picked many tomatoes and made salad together.

(Blank) Yuki learned that tomatoes need _____.",sunlight and water,tickets and maps,music and books,snow and strong wind,1,sunlight and water,文章说明番茄需要阳光和水。,,,,,,generated_from_pre2_pattern,,"=IF(T61="""","""",IF(T61=K61,""○"",""×""))",0,0,"=IF(V61=0,"""",W61/V61)",,,未练习,
7,EIKEN Pre-2 Practice Set 07,1,61,词汇・熟语四选一,Please read the _____ sentence.,following,tough,flat,careful,1,following,正确答案是 following，意思是：下面的；以下的。例句考查：the following。,following,形容词,次の；以下の,下面的；以下的,the following,uploaded_vocab_database,,"=IF(T62="""","""",IF(T62=K62,""○"",""×""))",0,0,"=IF(V62=0,"""",W62/V62)",,,未练习,
7,EIKEN Pre-2 Practice Set 07,2,62,词汇・熟语四选一,Our new teacher is very _____.,awful,empty,local,friendly,4,friendly,正确答案是 friendly，意思是：友好的；亲切的。例句考查：a friendly relationship。,friendly,形容词,友好的な；人なつっこい,友好的；亲切的,a friendly relationship,uploaded_vocab_database,,"=IF(T63="""","""",IF(T63=K63,""○"",""×""))",0,0,"=IF(V63=0,"""",W63/V63)",,,未练习,
7,EIKEN Pre-2 Practice Set 07,3,63,词汇・熟语四选一,He is an _____ person.,honest,another,final,charming,1,honest,正确答案是 honest，意思是：诚实的。例句考查：to be honest。,honest,形容词,正直な,诚实的,to be honest,uploaded_vocab_database,,"=IF(T64="""","""",IF(T64=K64,""○"",""×""))",0,0,"=IF(V64=0,"""",W64/V64)",,,未练习,
7,EIKEN Pre-2 Practice Set 07,4,64,词汇・熟语四选一,She works for an _____ company.,quiet,formal,empty,international,4,international,正确答案是 international，意思是：国际的。例句考查：international organization。,international,形容词,国際的な,国际的,international organization,uploaded_vocab_database,,"=IF(T65="""","""",IF(T65=K65,""○"",""×""))",0,0,"=IF(V65=0,"""",W65/V65)",,,未练习,
7,EIKEN Pre-2 Practice Set 07,5,65,词汇・熟语四选一,It is _____ to snow tonight.,ordinary,afraid,likely,nervous,3,likely,正确答案是 likely，意思是：可能的；有可能的。例句考查：be likely to do。,likely,形容词,〜しそうである；ありそうな,可能的；有可能的,be likely to do,uploaded_vocab_database,,"=IF(T66="""","""",IF(T66=K66,""○"",""×""))",0,0,"=IF(V66=0,"""",W66/V66)",,,未练习,
7,EIKEN Pre-2 Practice Set 07,6,66,会话补全,"A: You look worried. What's wrong?
B: I can't find my science notebook.
A: _____
B: Thanks. I remember I used it in the classroom.",I don't enjoy science.,This notebook is expensive.,The bus will arrive soon.,Let's look for it together.,4,Let's look for it together.,对方找不到东西时，主动提出一起找最合适。,,,,,,generated_from_pre2_pattern,,"=IF(T67="""","""",IF(T67=K67,""○"",""×""))",0,0,"=IF(V67=0,"""",W67/V67)",,,未练习,
